dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
cmapss_fd001,full,1,high,0.1,3,0.31194379925727844,0.020459618419408798
cmapss_fd001,full,1,low,0.1,3,-0.07031925022602081,0.013238353654742241
cmapss_fd001,full,1,random,0.1,3,0.08372006565332413,0.011386189609766006
cmapss_fd001,full,1,high,0.2,6,0.4924326539039612,0.02921743504703045
cmapss_fd001,full,1,low,0.2,6,-0.10233614593744278,0.02720468118786812
cmapss_fd001,full,1,random,0.2,6,0.21150948107242584,0.017774928361177444
cmapss_fd001,full,1,high,0.3,9,0.5870009064674377,0.03371204808354378
cmapss_fd001,full,1,low,0.3,9,-0.1077057272195816,0.0406787246465683
cmapss_fd001,full,1,random,0.3,9,0.38994717597961426,0.024885090067982674
cmapss_fd001,full,1,high,0.4,12,0.6014400720596313,0.036201801151037216
cmapss_fd001,full,1,low,0.4,12,-0.10497511178255081,0.049174606800079346
cmapss_fd001,full,1,random,0.4,12,0.46551260352134705,0.029298339039087296
cmapss_fd001,full,1,high,0.5,15,0.578282356262207,0.0373387485742569
cmapss_fd001,full,1,low,0.5,15,-0.09684760123491287,0.05054555460810661
cmapss_fd001,full,1,random,0.5,15,0.5852316617965698,0.03361959755420685
cmapss_fd001,full,1,high,0.6,18,0.5951727628707886,0.03819838911294937
cmapss_fd001,full,1,low,0.6,18,-0.08706266433000565,0.04598354920744896
cmapss_fd001,full,1,random,0.6,18,0.6779962182044983,0.03739644214510918
cmapss_fd001,full,1,high,0.7,21,0.6869525909423828,0.0402626171708107
cmapss_fd001,full,1,low,0.7,21,-0.04490029066801071,0.036378875374794006
cmapss_fd001,full,1,random,0.7,21,0.7254977226257324,0.03967364877462387
cmapss_fd001,full,1,high,0.8,24,0.7929040193557739,0.042688097804784775
cmapss_fd001,full,1,low,0.8,24,0.12118832767009735,0.028599442914128304
cmapss_fd001,full,1,random,0.8,24,0.7909534573554993,0.04186258092522621
cmapss_fd001,full,1,high,0.9,27,0.829252302646637,0.04402283951640129
cmapss_fd001,full,1,low,0.9,27,0.6385325193405151,0.03456973657011986
cmapss_fd001,full,1,random,0.9,27,0.8237295746803284,0.04359407722949982
cmapss_fd001,full,1,high,1.0,30,0.8378896117210388,0.04451560601592064
cmapss_fd001,full,1,low,1.0,30,0.8378896117210388,0.04451560601592064
cmapss_fd001,full,1,random,1.0,30,0.8378896117210388,0.04451560601592064
cmapss_fd001,full,1,randomized_attn,0.1,3,0.02569999173283577,0.012724438682198524
cmapss_fd001,full,1,randomized_attn,0.2,6,0.023389339447021484,0.021365012973546982
cmapss_fd001,full,1,randomized_attn,0.3,9,0.04090447723865509,0.029489297419786453
cmapss_fd001,full,1,randomized_attn,0.4,12,0.06844963133335114,0.03113984502851963
cmapss_fd001,full,1,randomized_attn,0.5,15,0.11773069202899933,0.030232416465878487
cmapss_fd001,full,1,randomized_attn,0.6,18,0.18954063951969147,0.02920694090425968
cmapss_fd001,full,1,randomized_attn,0.7,21,0.28753551840782166,0.030769702047109604
cmapss_fd001,full,1,randomized_attn,0.8,24,0.4063616394996643,0.03266061097383499
cmapss_fd001,full,1,randomized_attn,0.9,27,0.6607793569564819,0.03519091010093689
cmapss_fd001,full,1,randomized_attn,1.0,30,0.8378896117210388,0.04451560601592064
cmapss_fd001,full,2,high,0.1,3,0.1299726814031601,0.01715400069952011
cmapss_fd001,full,2,low,0.1,3,-0.04678996279835701,0.013110038824379444
cmapss_fd001,full,2,random,0.1,3,0.0753341019153595,0.013767806813120842
cmapss_fd001,full,2,high,0.2,6,0.3352338969707489,0.03195730969309807
cmapss_fd001,full,2,low,0.2,6,-0.04811268672347069,0.023235874250531197
cmapss_fd001,full,2,random,0.2,6,0.21412909030914307,0.022145532071590424
cmapss_fd001,full,2,high,0.3,9,0.5210347175598145,0.04252003878355026
cmapss_fd001,full,2,low,0.3,9,-0.052191268652677536,0.030154455453157425
cmapss_fd001,full,2,random,0.3,9,0.34774118661880493,0.029605630785226822
cmapss_fd001,full,2,high,0.4,12,0.5857093334197998,0.04655243828892708
cmapss_fd001,full,2,low,0.4,12,-0.0546104870736599,0.03340299054980278
cmapss_fd001,full,2,random,0.4,12,0.5341758131980896,0.03614426776766777
cmapss_fd001,full,2,high,0.5,15,0.5935424566268921,0.04927811399102211
cmapss_fd001,full,2,low,0.5,15,-0.04945472255349159,0.031707920134067535
cmapss_fd001,full,2,random,0.5,15,0.6282861828804016,0.041448164731264114
cmapss_fd001,full,2,high,0.6,18,0.6066587567329407,0.05193041265010834
cmapss_fd001,full,2,low,0.6,18,-0.020981725305318832,0.02672490105032921
cmapss_fd001,full,2,random,0.6,18,0.6812127232551575,0.04424605518579483
cmapss_fd001,full,2,high,0.7,21,0.6967226266860962,0.052258316427469254
cmapss_fd001,full,2,low,0.7,21,0.01808989979326725,0.021100588142871857
cmapss_fd001,full,2,random,0.7,21,0.8084760904312134,0.047369327396154404
cmapss_fd001,full,2,high,0.8,24,0.7865161299705505,0.050830576568841934
cmapss_fd001,full,2,low,0.8,24,0.10380503535270691,0.018561795353889465
cmapss_fd001,full,2,random,0.8,24,0.8398168087005615,0.04909065365791321
cmapss_fd001,full,2,high,0.9,27,0.8900966644287109,0.05205784738063812
cmapss_fd001,full,2,low,0.9,27,0.7148990631103516,0.044245149940252304
cmapss_fd001,full,2,random,0.9,27,0.8838178515434265,0.05135057121515274
cmapss_fd001,full,2,high,1.0,30,0.898684561252594,0.05244283750653267
cmapss_fd001,full,2,low,1.0,30,0.898684561252594,0.05244283750653267
cmapss_fd001,full,2,random,1.0,30,0.898684561252594,0.05244283750653267
cmapss_fd001,full,2,randomized_attn,0.1,3,0.29829150438308716,0.027110327035188675
cmapss_fd001,full,2,randomized_attn,0.2,6,0.43381160497665405,0.03278769925236702
cmapss_fd001,full,2,randomized_attn,0.3,9,0.48756203055381775,0.03481637313961983
cmapss_fd001,full,2,randomized_attn,0.4,12,0.5504682660102844,0.037193261086940765
cmapss_fd001,full,2,randomized_attn,0.5,15,0.5935617685317993,0.03915952891111374
cmapss_fd001,full,2,randomized_attn,0.6,18,0.639999270439148,0.04111037030816078
cmapss_fd001,full,2,randomized_attn,0.7,21,0.669023334980011,0.042158469557762146
cmapss_fd001,full,2,randomized_attn,0.8,24,0.7294421195983887,0.04313546419143677
cmapss_fd001,full,2,randomized_attn,0.9,27,0.8731774091720581,0.05091323330998421
cmapss_fd001,full,2,randomized_attn,1.0,30,0.898684561252594,0.05244283750653267
cmapss_fd001,full,3,high,0.1,3,0.18465767800807953,0.021602138876914978
cmapss_fd001,full,3,low,0.1,3,-0.03429984301328659,0.01679142378270626
cmapss_fd001,full,3,random,0.1,3,0.06567524373531342,0.013158599846065044
cmapss_fd001,full,3,high,0.2,6,0.36733031272888184,0.03498390316963196
cmapss_fd001,full,3,low,0.2,6,-0.04099643975496292,0.031913261860609055
cmapss_fd001,full,3,random,0.2,6,0.16243091225624084,0.0221268218010664
cmapss_fd001,full,3,high,0.3,9,0.4615854322910309,0.042633529752492905
cmapss_fd001,full,3,low,0.3,9,-0.039461687207221985,0.043173354119062424
cmapss_fd001,full,3,random,0.3,9,0.2654763162136078,0.027829352766275406
cmapss_fd001,full,3,high,0.4,12,0.48872822523117065,0.046055931597948074
cmapss_fd001,full,3,low,0.4,12,-0.0367664098739624,0.05040606111288071
cmapss_fd001,full,3,random,0.4,12,0.37397685647010803,0.03286350890994072
cmapss_fd001,full,3,high,0.5,15,0.49098050594329834,0.046737462282180786
cmapss_fd001,full,3,low,0.5,15,-0.029221724718809128,0.053325504064559937
cmapss_fd001,full,3,random,0.5,15,0.4819459915161133,0.03945247456431389
