dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
ur3,full,1,high,0.1,1,-0.004767387639731169,0.02758270874619484
ur3,full,1,low,0.1,1,-5.724292350350879e-05,0.11416254192590714
ur3,full,1,random,0.1,1,0.0029952852055430412,0.08265004307031631
ur3,full,1,high,0.2,2,-0.02210002951323986,0.07123982161283493
ur3,full,1,low,0.2,2,0.036552395671606064,0.14851509034633636
ur3,full,1,random,0.2,2,-0.006741561461240053,0.1320304572582245
ur3,full,1,high,0.3,3,-0.03290975093841553,0.12468135356903076
ur3,full,1,low,0.3,3,0.04663252457976341,0.16557422280311584
ur3,full,1,random,0.3,3,0.005961562506854534,0.17603537440299988
ur3,full,1,high,0.4,4,-0.02814321033656597,0.18393661081790924
ur3,full,1,low,0.4,4,0.0689874142408371,0.19289416074752808
ur3,full,1,random,0.4,4,0.026254503056406975,0.20406460762023926
ur3,full,1,high,0.5,5,-0.027798114344477654,0.23906567692756653
ur3,full,1,low,0.5,5,0.09826618432998657,0.223178431391716
ur3,full,1,random,0.5,5,0.006394768133759499,0.24040473997592926
ur3,full,1,high,0.6,6,-0.02878180891275406,0.28455573320388794
ur3,full,1,low,0.6,6,0.13011552393436432,0.2586204707622528
ur3,full,1,random,0.6,6,0.024930434301495552,0.26642242074012756
ur3,full,1,high,0.7,7,-0.025186261162161827,0.31765779852867126
ur3,full,1,low,0.7,7,0.13842244446277618,0.2862818241119385
ur3,full,1,random,0.7,7,0.02087145298719406,0.28324419260025024
ur3,full,1,high,0.8,8,-0.023112086579203606,0.32548004388809204
ur3,full,1,low,0.8,8,0.1403622329235077,0.3034805357456207
ur3,full,1,random,0.8,8,0.07084941118955612,0.30752032995224
ur3,full,1,high,0.9,9,-0.008192624896764755,0.33901068568229675
ur3,full,1,low,0.9,9,0.10382868349552155,0.3039810359477997
ur3,full,1,random,0.9,9,0.08287370949983597,0.3141871690750122
ur3,full,1,high,1.0,10,0.09858966618776321,0.3087117373943329
ur3,full,1,low,1.0,10,0.09858966618776321,0.3087117373943329
ur3,full,1,random,1.0,10,0.09858966618776321,0.3087117373943329
ur3,full,1,randomized_attn,0.1,1,-0.011416430585086346,0.04065396636724472
ur3,full,1,randomized_attn,0.2,2,-0.029507020488381386,0.08820148557424545
ur3,full,1,randomized_attn,0.3,3,-0.03903406485915184,0.14726611971855164
ur3,full,1,randomized_attn,0.4,4,-0.05809899792075157,0.21624000370502472
ur3,full,1,randomized_attn,0.5,5,-0.06310524791479111,0.275236576795578
ur3,full,1,randomized_attn,0.6,6,-0.06820514053106308,0.32783323526382446
ur3,full,1,randomized_attn,0.7,7,-0.06232549622654915,0.3627917766571045
ur3,full,1,randomized_attn,0.8,8,-0.040753357112407684,0.3663056492805481
ur3,full,1,randomized_attn,0.9,9,0.002259989269077778,0.3504674434661865
ur3,full,1,randomized_attn,1.0,10,0.09858966618776321,0.3087117373943329
ur3,full,2,high,0.1,1,0.015236414037644863,0.025984276086091995
ur3,full,2,low,0.1,1,-0.047876130789518356,0.16226404905319214
ur3,full,2,random,0.1,1,0.023610418662428856,0.06771022081375122
ur3,full,2,high,0.2,2,0.010321579873561859,0.041623760014772415
ur3,full,2,low,0.2,2,-0.0334806852042675,0.2196914553642273
ur3,full,2,random,0.2,2,0.06751863658428192,0.13008545339107513
ur3,full,2,high,0.3,3,0.035925623029470444,0.0670662596821785
ur3,full,2,low,0.3,3,-0.0017006824491545558,0.23954491317272186
ur3,full,2,random,0.3,3,0.07706214487552643,0.15978945791721344
ur3,full,2,high,0.4,4,0.07494739443063736,0.09920969605445862
ur3,full,2,low,0.4,4,0.04542071744799614,0.2505691647529602
ur3,full,2,random,0.4,4,0.09254934638738632,0.19341079890727997
ur3,full,2,high,0.5,5,0.13564009964466095,0.13348394632339478
ur3,full,2,low,0.5,5,0.11420094221830368,0.2647639513015747
ur3,full,2,random,0.5,5,0.1310868263244629,0.22950604557991028
ur3,full,2,high,0.6,6,0.2039053589105606,0.17440298199653625
ur3,full,2,low,0.6,6,0.18869243562221527,0.2772797644138336
ur3,full,2,random,0.6,6,0.1670159548521042,0.26498645544052124
ur3,full,2,high,0.7,7,0.2932017743587494,0.22429871559143066
ur3,full,2,low,0.7,7,0.24209687113761902,0.2860555946826935
ur3,full,2,random,0.7,7,0.16599741578102112,0.26607757806777954
ur3,full,2,high,0.8,8,0.38603702187538147,0.26393356919288635
ur3,full,2,low,0.8,8,0.29348886013031006,0.2788600027561188
ur3,full,2,random,0.8,8,0.25797370076179504,0.30055925250053406
ur3,full,2,high,0.9,9,0.4067467153072357,0.2850620746612549
ur3,full,2,low,0.9,9,0.31737977266311646,0.2835424542427063
ur3,full,2,random,0.9,9,0.3286852538585663,0.3055751621723175
ur3,full,2,high,1.0,10,0.4025615453720093,0.29714030027389526
ur3,full,2,low,1.0,10,0.4025615453720093,0.29714030027389526
ur3,full,2,random,1.0,10,0.4025615453720093,0.29714030027389526
ur3,full,2,randomized_attn,0.1,1,0.014615828171372414,0.06422498822212219
ur3,full,2,randomized_attn,0.2,2,-0.01965157315135002,0.10444769263267517
ur3,full,2,randomized_attn,0.3,3,0.0060417065396904945,0.13849912583827972
ur3,full,2,randomized_attn,0.4,4,0.059129565954208374,0.17964981496334076
ur3,full,2,randomized_attn,0.5,5,0.07906239479780197,0.2022908329963684
ur3,full,2,randomized_attn,0.6,6,0.13900522887706757,0.22815696895122528
ur3,full,2,randomized_attn,0.7,7,0.18320655822753906,0.2487078458070755
ur3,full,2,randomized_attn,0.8,8,0.2814634442329407,0.27564018964767456
ur3,full,2,randomized_attn,0.9,9,0.3438631594181061,0.2776488661766052
ur3,full,2,randomized_attn,1.0,10,0.4025615453720093,0.29714030027389526
ur3,full,3,high,0.1,1,0.014281016774475574,0.030633723363280296
ur3,full,3,low,0.1,1,-0.02824052795767784,0.15004903078079224
ur3,full,3,random,0.1,1,0.012038187123835087,0.08440699428319931
ur3,full,3,high,0.2,2,0.012618934735655785,0.05963741987943649
ur3,full,3,low,0.2,2,-0.03172249346971512,0.1907052993774414
ur3,full,3,random,0.2,2,0.007746679242700338,0.1303575187921524
ur3,full,3,high,0.3,3,0.005448440555483103,0.09530787914991379
ur3,full,3,low,0.3,3,-0.031855106353759766,0.2341165542602539
ur3,full,3,random,0.3,3,0.015849677845835686,0.17343167960643768
ur3,full,3,high,0.4,4,0.02295536920428276,0.14275909960269928
ur3,full,3,low,0.4,4,-0.03456604480743408,0.2682220935821533
