dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
xjtu,full,1,high,0.1,2,-9.91194901871495e-05,0.0036478512920439243
xjtu,full,1,low,0.1,2,-0.00662228325381875,0.01128043606877327
xjtu,full,1,random,0.1,2,-0.0015282502863556147,0.008469605818390846
xjtu,full,1,high,0.2,4,0.017004938796162605,0.012938078492879868
xjtu,full,1,low,0.2,4,-0.013565374538302422,0.01675523817539215
xjtu,full,1,random,0.2,4,0.00010990852024406195,0.011880653910338879
xjtu,full,1,high,0.3,6,0.022938385605812073,0.02535717561841011
xjtu,full,1,low,0.3,6,-0.023219363763928413,0.02191414311528206
xjtu,full,1,random,0.3,6,0.004927983507514,0.012918981723487377
xjtu,full,1,high,0.4,8,0.03248981386423111,0.038730744272470474
xjtu,full,1,low,0.4,8,-0.016434380784630775,0.017534904181957245
xjtu,full,1,random,0.4,8,-0.0032084661070257425,0.0220328401774168
xjtu,full,1,high,0.5,10,0.050986889749765396,0.05942576378583908
xjtu,full,1,low,0.5,10,-0.019073178991675377,0.018154695630073547
xjtu,full,1,random,0.5,10,-0.001843168050982058,0.025986673310399055
xjtu,full,1,high,0.6,12,0.12572187185287476,0.1253143548965454
xjtu,full,1,low,0.6,12,-0.021745197474956512,0.020145762711763382
xjtu,full,1,random,0.6,12,0.013258149847388268,0.03630019724369049
xjtu,full,1,high,0.7,14,0.2187214195728302,0.18892528116703033
xjtu,full,1,low,0.7,14,-0.024696586653590202,0.02325938269495964
xjtu,full,1,random,0.7,14,0.002434062771499157,0.03495475649833679
xjtu,full,1,high,0.8,16,0.327622652053833,0.23713523149490356
xjtu,full,1,low,0.8,16,-0.023293228819966316,0.027034282684326172
xjtu,full,1,random,0.8,16,0.008054396137595177,0.04931289702653885
xjtu,full,1,high,0.9,18,0.41235870122909546,0.274488240480423
xjtu,full,1,low,0.9,18,-0.004552293103188276,0.042993735522031784
xjtu,full,1,random,0.9,18,0.07605051249265671,0.0854041576385498
xjtu,full,1,high,1.0,20,0.5153567790985107,0.31655171513557434
xjtu,full,1,low,1.0,20,0.5153567790985107,0.31655171513557434
xjtu,full,1,random,1.0,20,0.5153567790985107,0.31655171513557434
xjtu,full,1,randomized_attn,0.1,2,0.00212867371737957,0.0029968898743391037
xjtu,full,1,randomized_attn,0.2,4,0.008249135687947273,0.013537313789129257
xjtu,full,1,randomized_attn,0.3,6,0.012427217327058315,0.02074030600488186
xjtu,full,1,randomized_attn,0.4,8,0.016453638672828674,0.025924120098352432
xjtu,full,1,randomized_attn,0.5,10,0.020041098818182945,0.030538033694028854
xjtu,full,1,randomized_attn,0.6,12,0.02196851745247841,0.033866267651319504
xjtu,full,1,randomized_attn,0.7,14,0.02181951329112053,0.03557444363832474
xjtu,full,1,randomized_attn,0.8,16,0.022666852921247482,0.04191717132925987
xjtu,full,1,randomized_attn,0.9,18,0.040419720113277435,0.05838799849152565
xjtu,full,1,randomized_attn,1.0,20,0.5153567790985107,0.31655171513557434
xjtu,full,2,high,0.1,2,0.0020218489225953817,0.0016072462312877178
xjtu,full,2,low,0.1,2,-0.0053819394670426846,0.012796202674508095
xjtu,full,2,random,0.1,2,0.0021949384827166796,0.0050380639731884
xjtu,full,2,high,0.2,4,0.003401020774617791,0.002075604163110256
xjtu,full,2,low,0.2,4,-0.0011632238747552037,0.027198392897844315
xjtu,full,2,random,0.2,4,0.0027329360600560904,0.005287329666316509
xjtu,full,2,high,0.3,6,0.004393983632326126,0.0031913178972899914
xjtu,full,2,low,0.3,6,-0.0006573011633008718,0.030588917434215546
xjtu,full,2,random,0.3,6,0.005678598303347826,0.00824648141860962
xjtu,full,2,high,0.4,8,0.01059899851679802,0.004868475254625082
xjtu,full,2,low,0.4,8,0.006146879401057959,0.035180188715457916
xjtu,full,2,random,0.4,8,0.009375231340527534,0.011676550842821598
xjtu,full,2,high,0.5,10,0.011496184393763542,0.006038181018084288
xjtu,full,2,low,0.5,10,0.01925647258758545,0.0421382412314415
xjtu,full,2,random,0.5,10,0.00791692454367876,0.011914939619600773
xjtu,full,2,high,0.6,12,0.016654519364237785,0.008454197086393833
xjtu,full,2,low,0.6,12,0.025955399498343468,0.05037557706236839
xjtu,full,2,random,0.6,12,0.025452328845858574,0.02042457088828087
xjtu,full,2,high,0.7,14,0.019688468426465988,0.009734664112329483
xjtu,full,2,low,0.7,14,0.04304535686969757,0.059398725628852844
xjtu,full,2,random,0.7,14,0.031816110014915466,0.03174503892660141
xjtu,full,2,high,0.8,16,0.02412327565252781,0.012569799087941647
xjtu,full,2,low,0.8,16,0.07281730324029922,0.0758339911699295
xjtu,full,2,random,0.8,16,0.08189628273248672,0.06058584526181221
xjtu,full,2,high,0.9,18,0.041707754135131836,0.025546900928020477
xjtu,full,2,low,0.9,18,0.14520974457263947,0.12391076982021332
xjtu,full,2,random,0.9,18,0.19601543247699738,0.1124681681394577
xjtu,full,2,high,1.0,20,0.4856923818588257,0.2667819857597351
