dataset,model,beta,threshold,false_positive,false_negative,fp_rate,fn_rate,f2
cmapss_fd001,full,1,0.9,34,132,0.0034468775344687753,0.39759036144578314,0.6402048655569782
cmapss_fd001,full,2,0.32,163,20,0.016524736415247362,0.060240963855421686,0.8652246256239601
cmapss_fd001,full,3,0.19,239,11,0.024229521492295215,0.03313253012048193,0.8501059322033898
cmapss_fd001,full,5,0.14,274,9,0.027777777777777776,0.02710843373493976,0.8389610389610389
cmapss_fd001,proposed_lite,1,0.75,118,59,0.011962692619626927,0.17771084337349397,0.794066317626527
cmapss_fd001,proposed_lite,2,0.5700000000000001,159,46,0.016119221411192215,0.13855421686746988,0.8065425831923294
cmapss_fd001,proposed_lite,3,0.08,285,12,0.02889294403892944,0.03614457831325301,0.8277289187790998
cmapss_fd001,proposed_lite,5,0.03,362,8,0.03669910786699108,0.024096385542168676,0.8043694141012909
cmapss_fd003,full,1,0.93,62,23,0.004625139873181649,0.07903780068728522,0.8969210174029452
cmapss_fd003,full,2,0.64,137,6,0.010220067139127192,0.020618556701030927,0.8984867591424969
cmapss_fd003,full,3,0.64,137,6,0.010220067139127192,0.020618556701030927,0.8984867591424969
cmapss_fd003,full,5,0.27,203,4,0.015143603133159269,0.013745704467353952,0.8675937122128174
cmapss_fd003,proposed_lite,1,0.87,82,50,0.006117120477433793,0.1718213058419244,0.8103564223268326
cmapss_fd003,proposed_lite,2,0.51,179,12,0.013353226408056695,0.041237113402061855,0.8600493218249076
cmapss_fd003,proposed_lite,3,0.4,202,10,0.015069004102946662,0.03436426116838488,0.8530661809350334
cmapss_fd003,proposed_lite,5,0.09999999999999999,401,6,0.029914211115255503,0.020618556701030927,0.7702702702702703
xjtu,full,1,0.93,0,177,0.0,1.0,0.0
xjtu,full,2,0.87,176,69,0.2825040128410915,0.3898305084745763,0.5443548387096774
xjtu,full,3,0.77,191,65,0.30658105939004815,0.3672316384180791,0.5539070227497527
xjtu,full,5,0.01,623,0,1.0,0.0,0.5868700265251989
xjtu,proposed_lite,1,0.77,171,69,0.27447833065810595,0.3898305084745763,0.547112462006079
xjtu,proposed_lite,2,0.72,184,66,0.2953451043338684,0.3728813559322034,0.5533399800598205
xjtu,proposed_lite,3,0.49,195,61,0.3130016051364366,0.3446327683615819,0.5691854759568205
xjtu,proposed_lite,5,0.19,623,0,1.0,0.0,0.5868700265251989
ur3,full,1,0.6900000000000001,109,129,0.13642052565707133,0.39209726443769,0.6153846153846154
ur3,full,2,0.34,347,36,0.43429286608260326,0.1094224924012158,0.7489775051124744
ur3,full,3,0.05,756,0,0.9461827284105131,0.0,0.685131195335277
ur3,full,5,0.03,793,0,0.9924906132665833,0.0,0.6747333880229697
ur3,proposed_lite,1,0.85,92,120,0.11514392991239049,0.364741641337386,0.6462585034013606
ur3,proposed_lite,2,0.12,483,34,0.60450563204005,0.1033434650455927,0.7043935052531041
ur3,proposed_lite,3,0.04,593,16,0.7421777221526908,0.0486322188449848,0.7043204320432043
ur3,proposed_lite,5,0.02,681,11,0.8523153942428036,0.03343465045592705,0.6868250539956804
