dataset,model,method,threshold,f2,auc_roc,auc_pr,brier,ece,coverage
ur3,full,raw,0.17,0.7383773928896992,0.8544266959839618,0.7730693746546161,0.1644480115596318,0.1677048668820173,1.0
ur3,full,temperature (T=0.92),0.17,0.7479224376731302,0.8544266959839618,0.7730693746546161,0.16488508870377658,0.1619899410767653,1.0
ur3,full,isotonic,0.17,0.747577295800646,0.8503182169200864,0.7352416262983255,0.14166110193238837,0.09099669609192415,1.0
ur3,full,MC-reject 10%,0.37,0.7412626832018039,0.86660559156252,0.7936578056426635,0.16069475225468727,0.1631409232946202,0.9069148936170213
ur3,full,MC-reject 10%+temp,0.35000000000000003,0.7491582491582491,0.86660559156252,0.7936578056426635,0.16153612604334783,0.15693249418705207,0.9069148936170213
ur3,full,MC-reject 20%,0.37,0.7654402102496715,0.890626733222407,0.8309345762054101,0.14940878967763407,0.15200729750259326,0.7721631205673759
ur3,full,MC-reject 20%+temp,0.35000000000000003,0.7649376231122784,0.890626733222407,0.8309345762054101,0.15095054660908472,0.14393586784293266,0.7721631205673759
ur3,full,MC-reject 30%,0.38,0.803030303030303,0.9137651076366803,0.867393055484541,0.13767536084507728,0.1447390401282826,0.6560283687943262
ur3,full,MC-reject 30%+temp,0.36000000000000004,0.803030303030303,0.9137651076366803,0.867393055484541,0.13980335316963188,0.13726255176840602,0.6560283687943262
ur3,proposed_lite,raw,0.19,0.742132456552372,0.8504095164548392,0.7672690424391166,0.17649451401401783,0.1880573655300318,1.0
ur3,proposed_lite,temperature (T=0.99),0.18000000000000002,0.7419505366308913,0.8504095164548392,0.7672690424391166,0.1765878468849122,0.18798953955927006,1.0
ur3,proposed_lite,isotonic,0.17,0.7414359455654622,0.8489981778134521,0.7459433919591097,0.1435137549729016,0.1016512629873258,1.0
ur3,proposed_lite,MC-reject 10%,0.19,0.7682154171066525,0.8677096860438469,0.7966675009718576,0.17026389506582962,0.17792314669156722,0.8803191489361702
