dataset,model,threshold_mode,threshold,confirm,failure_sequences,detected,early,missed,false_alarms,non_failure_sequences,detection_rate,early_rate,false_alarm_rate,mean_lead,median_lead
ur3,full,cost,0.17,1,25,25,25,0,11,11,1.0,1.0,1.0,-1.52,0.0
ur3,full,far20,0.51,1,25,25,25,0,7,11,1.0,1.0,0.6363636363636364,-1.04,0.0
ur3,full,cost,0.17,2,25,25,3,0,11,11,1.0,0.12,1.0,-0.24,1.0
ur3,full,far20,0.51,2,25,25,2,0,5,11,1.0,0.08,0.45454545454545453,1.0,1.0
ur3,full,cost,0.17,3,25,25,3,0,11,11,1.0,0.12,1.0,0.76,2.0
ur3,full,far20,0.51,3,25,25,0,0,2,11,1.0,0.0,0.18181818181818182,2.76,2.0
ur3,proposed_lite,cost,0.19,1,25,25,25,0,11,11,1.0,1.0,1.0,-1.24,0.0
ur3,proposed_lite,far20,0.45,1,25,25,25,0,9,11,1.0,1.0,0.8181818181818182,-1.16,0.0
ur3,proposed_lite,cost,0.19,2,25,25,3,0,11,11,1.0,0.12,1.0,-0.24,1.0
ur3,proposed_lite,far20,0.45,2,25,25,3,0,7,11,1.0,0.12,0.6363636363636364,0.24,1.0
ur3,proposed_lite,cost,0.19,3,25,25,3,0,11,11,1.0,0.12,1.0,0.76,2.0
ur3,proposed_lite,far20,0.45,3,25,25,2,0,6,11,1.0,0.08,0.5454545454545454,1.72,2.0
ur3,lstm,cost,0.32,1,25,25,25,0,8,11,1.0,1.0,0.7272727272727273,-1.24,0.0
ur3,lstm,far20,0.47000000000000003,1,25,25,25,0,7,11,1.0,1.0,0.6363636363636364,-1.2,0.0
ur3,lstm,cost,0.32,2,25,25,3,0,7,11,1.0,0.12,0.6363636363636364,-0.24,1.0
ur3,lstm,far20,0.47000000000000003,2,25,25,2,0,6,11,1.0,0.08,0.5454545454545454,0.72,1.0
ur3,lstm,cost,0.32,3,25,25,2,0,7,11,1.0,0.08,0.6363636363636364,1.2,2.0
ur3,lstm,far20,0.47000000000000003,3,25,25,1,0,5,11,1.0,0.04,0.45454545454545453,2.2,2.0
ur3,tcn,cost,0.38,1,25,25,25,0,11,11,1.0,1.0,1.0,-1.52,0.0
ur3,tcn,far20,0.62,1,25,25,23,0,5,11,1.0,0.92,0.45454545454545453,-1.44,0.0
ur3,tcn,cost,0.38,2,25,25,3,0,10,11,1.0,0.12,0.9090909090909091,-0.52,1.0
ur3,tcn,far20,0.62,2,25,25,1,0,3,11,1.0,0.04,0.2727272727272727,0.6,1.0
ur3,tcn,cost,0.38,3,25,25,2,0,9,11,1.0,0.08,0.8181818181818182,1.36,2.0
ur3,tcn,far20,0.62,3,25,25,1,0,3,11,1.0,0.04,0.2727272727272727,2.32,2.0
ur3,timesnet,cost,0.38,1,25,25,25,0,8,11,1.0,1.0,0.7272727272727273,-1.32,0.0
ur3,timesnet,far20,0.42000000000000004,1,25,25,25,0,8,11,1.0,1.0,0.7272727272727273,-1.32,0.0
ur3,timesnet,cost,0.38,2,25,25,2,0,8,11,1.0,0.08,0.7272727272727273,0.16,1.0
ur3,timesnet,far20,0.42000000000000004,2,25,25,2,0,8,11,1.0,0.08,0.7272727272727273,0.48,1.0
ur3,timesnet,cost,0.38,3,25,25,2,0,6,11,1.0,0.08,0.5454545454545454,1.44,2.0
ur3,timesnet,far20,0.42000000000000004,3,25,25,2,0,5,11,1.0,0.08,0.45454545454545453,1.48,2.0
cmapss_fd001,full,cost,0.39,1,25,25,20,0,3,75,1.0,0.8,0.04,-6.72,-6.0
cmapss_fd001,full,far20,0.39,1,25,25,20,0,3,75,1.0,0.8,0.04,-6.72,-6.0
cmapss_fd001,full,cost,0.39,2,25,25,19,0,2,75,1.0,0.76,0.02666666666666667,-5.36,-3.0
cmapss_fd001,full,far20,0.39,2,25,25,19,0,2,75,1.0,0.76,0.02666666666666667,-5.36,-3.0
cmapss_fd001,full,cost,0.39,3,25,24,18,1,2,75,0.96,0.72,0.02666666666666667,-4.75,-3.0
cmapss_fd001,full,far20,0.39,3,25,24,18,1,2,75,0.96,0.72,0.02666666666666667,-4.75,-3.0
cmapss_fd001,proposed_lite,cost,0.62,1,25,23,16,2,1,75,0.92,0.64,0.013333333333333334,-4.173913043478261,-2.0
cmapss_fd001,proposed_lite,far20,0.62,1,25,23,16,2,1,75,0.92,0.64,0.013333333333333334,-4.173913043478261,-2.0
cmapss_fd001,proposed_lite,cost,0.62,2,25,21,15,4,1,75,0.84,0.6,0.013333333333333334,-3.3333333333333335,-1.0
cmapss_fd001,proposed_lite,far20,0.62,2,25,21,15,4,1,75,0.84,0.6,0.013333333333333334,-3.3333333333333335,-1.0
cmapss_fd001,proposed_lite,cost,0.62,3,25,21,12,4,1,75,0.84,0.48,0.013333333333333334,-2.3333333333333335,0.0
cmapss_fd001,proposed_lite,far20,0.62,3,25,21,12,4,1,75,0.84,0.48,0.013333333333333334,-2.3333333333333335,0.0
cmapss_fd001,lstm,cost,0.72,1,25,22,15,3,1,75,0.88,0.6,0.013333333333333334,-2.272727272727273,-1.0
cmapss_fd001,lstm,far20,0.72,1,25,22,15,3,1,75,0.88,0.6,0.013333333333333334,-2.272727272727273,-1.0
cmapss_fd001,lstm,cost,0.72,2,25,22,14,3,1,75,0.88,0.56,0.013333333333333334,-0.22727272727272727,0.0
cmapss_fd001,lstm,far20,0.72,2,25,22,14,3,1,75,0.88,0.56,0.013333333333333334,-0.22727272727272727,0.0
cmapss_fd001,lstm,cost,0.72,3,25,21,8,4,1,75,0.84,0.32,0.013333333333333334,0.6666666666666666,1.0
