dataset,model,miss_cost,fp_cost,missed,false_alarms,total_cost
cmapss_fd001,matched_tcn,10,0.5,2,2,21.0
cmapss_fd001,full_mc,10,0.5,1,2,24.0
cmapss_fd001,lite_mc,10,0.5,4,2,52.5
cmapss_fd001,lite_no_attn_mc,10,0.5,1,3,11.5
cmapss_fd001,lite_no_mc,10,0.5,4,2,52.5
cmapss_fd001,matched_tcn,10,1.0,2,2,22.0
cmapss_fd001,full_mc,10,1.0,1,2,25.0
cmapss_fd001,lite_mc,10,1.0,4,2,53.5
cmapss_fd001,lite_no_attn_mc,10,1.0,1,3,13.0
cmapss_fd001,lite_no_mc,10,1.0,4,2,53.5
cmapss_fd001,matched_tcn,10,2.0,2,2,24.0
cmapss_fd001,full_mc,10,2.0,1,2,27.0
cmapss_fd001,lite_mc,10,2.0,4,2,55.5
cmapss_fd001,lite_no_attn_mc,10,2.0,1,3,16.0
cmapss_fd001,lite_no_mc,10,2.0,4,2,55.5
cmapss_fd001,matched_tcn,10,5.0,2,2,30.0
cmapss_fd001,full_mc,10,5.0,1,2,33.0
cmapss_fd001,lite_mc,10,5.0,4,2,61.5
cmapss_fd001,lite_no_attn_mc,10,5.0,1,3,25.0
cmapss_fd001,lite_no_mc,10,5.0,4,2,61.5
cmapss_fd001,matched_tcn,50,0.5,2,2,101.0
cmapss_fd001,full_mc,50,0.5,1,2,64.0
cmapss_fd001,lite_mc,50,0.5,4,2,212.5
cmapss_fd001,lite_no_attn_mc,50,0.5,1,3,51.5
cmapss_fd001,lite_no_mc,50,0.5,4,2,212.5
cmapss_fd001,matched_tcn,50,1.0,2,2,102.0
cmapss_fd001,full_mc,50,1.0,1,2,65.0
cmapss_fd001,lite_mc,50,1.0,4,2,213.5
cmapss_fd001,lite_no_attn_mc,50,1.0,1,3,53.0
cmapss_fd001,lite_no_mc,50,1.0,4,2,213.5
cmapss_fd001,matched_tcn,50,2.0,2,2,104.0
cmapss_fd001,full_mc,50,2.0,1,2,67.0
cmapss_fd001,lite_mc,50,2.0,4,2,215.5
