dataset,miss_cost,fp_cost,best_model,best_cost
cmapss_fd001,10,0.5,lite_no_attn_mc,11.5
cmapss_fd001,10,1.0,lite_no_attn_mc,13.0
cmapss_fd001,10,2.0,lite_no_attn_mc,16.0
cmapss_fd001,10,5.0,lite_no_attn_mc,25.0
cmapss_fd001,50,0.5,lite_no_attn_mc,51.5
cmapss_fd001,50,1.0,lite_no_attn_mc,53.0
cmapss_fd001,50,2.0,lite_no_attn_mc,56.0
cmapss_fd001,50,5.0,lite_no_attn_mc,65.0
cmapss_fd001,100,0.5,lite_no_attn_mc,101.5
cmapss_fd001,100,1.0,lite_no_attn_mc,103.0
cmapss_fd001,100,2.0,lite_no_attn_mc,106.0
cmapss_fd001,100,5.0,lite_no_attn_mc,115.0
cmapss_fd001,500,0.5,lite_no_attn_mc,501.5
cmapss_fd001,500,1.0,lite_no_attn_mc,503.0
cmapss_fd001,500,2.0,lite_no_attn_mc,506.0
cmapss_fd001,500,5.0,lite_no_attn_mc,515.0
cmapss_fd001,1000,0.5,lite_no_attn_mc,1001.5
cmapss_fd001,1000,1.0,lite_no_attn_mc,1003.0
cmapss_fd001,1000,2.0,lite_no_attn_mc,1006.0
cmapss_fd001,1000,5.0,lite_no_attn_mc,1015.0
cmapss_fd003,10,0.5,matched_tcn,1.0
cmapss_fd003,10,1.0,matched_tcn,2.0
cmapss_fd003,10,2.0,matched_tcn,4.0
cmapss_fd003,10,5.0,matched_tcn,10.0
cmapss_fd003,50,0.5,matched_tcn,1.0
cmapss_fd003,50,1.0,matched_tcn,2.0
cmapss_fd003,50,2.0,matched_tcn,4.0
cmapss_fd003,50,5.0,matched_tcn,10.0
cmapss_fd003,100,0.5,matched_tcn,1.0
cmapss_fd003,100,1.0,matched_tcn,2.0
cmapss_fd003,100,2.0,matched_tcn,4.0
cmapss_fd003,100,5.0,matched_tcn,10.0
cmapss_fd003,500,0.5,matched_tcn,1.0
cmapss_fd003,500,1.0,matched_tcn,2.0
cmapss_fd003,500,2.0,matched_tcn,4.0
cmapss_fd003,500,5.0,matched_tcn,10.0
cmapss_fd003,1000,0.5,matched_tcn,1.0
cmapss_fd003,1000,1.0,matched_tcn,2.0
cmapss_fd003,1000,2.0,matched_tcn,4.0
cmapss_fd003,1000,5.0,matched_tcn,10.0
ur3,10,0.5,matched_tcn,3.0
ur3,10,1.0,matched_tcn,6.0
ur3,10,2.0,matched_tcn,12.0
ur3,10,5.0,matched_tcn,30.0
ur3,50,0.5,matched_tcn,3.0
ur3,50,1.0,matched_tcn,6.0
ur3,50,2.0,matched_tcn,12.0
ur3,50,5.0,matched_tcn,30.0
ur3,100,0.5,matched_tcn,3.0
ur3,100,1.0,matched_tcn,6.0
ur3,100,2.0,matched_tcn,12.0
ur3,100,5.0,matched_tcn,30.0
ur3,500,0.5,matched_tcn,3.0
ur3,500,1.0,matched_tcn,6.0
ur3,500,2.0,matched_tcn,12.0
ur3,500,5.0,matched_tcn,30.0
ur3,1000,0.5,matched_tcn,3.0
ur3,1000,1.0,matched_tcn,6.0
ur3,1000,2.0,matched_tcn,12.0
ur3,1000,5.0,matched_tcn,30.0
xjtu,10,0.5,matched_tcn,0.0
xjtu,10,1.0,matched_tcn,0.0
xjtu,10,2.0,matched_tcn,0.0
xjtu,10,5.0,matched_tcn,0.0
xjtu,50,0.5,matched_tcn,0.0
xjtu,50,1.0,matched_tcn,0.0
xjtu,50,2.0,matched_tcn,0.0
xjtu,50,5.0,matched_tcn,0.0
xjtu,100,0.5,matched_tcn,0.0
xjtu,100,1.0,matched_tcn,0.0
xjtu,100,2.0,matched_tcn,0.0
xjtu,100,5.0,matched_tcn,0.0
xjtu,500,0.5,matched_tcn,0.0
xjtu,500,1.0,matched_tcn,0.0
xjtu,500,2.0,matched_tcn,0.0
xjtu,500,5.0,matched_tcn,0.0
xjtu,1000,0.5,matched_tcn,0.0
xjtu,1000,1.0,matched_tcn,0.0
xjtu,1000,2.0,matched_tcn,0.0
xjtu,1000,5.0,matched_tcn,0.0
