dataset,model,miss_cost,fp_cost,explain_cost,missed,false_alarms,detected,total_cost
cmapss_fd001,matched_tcn,10,0.5,0.0,2,2,23,21.0
cmapss_fd001,matched_tcn,10,0.5,0.25,2,2,23,21.0
cmapss_fd001,matched_tcn,10,0.5,0.5,2,2,23,21.0
cmapss_fd001,matched_tcn,10,0.5,1.0,2,2,23,21.0
cmapss_fd001,matched_tcn,10,0.5,2.0,2,2,23,21.0
cmapss_fd001,matched_tcn,10,0.5,5.0,2,2,23,21.0
cmapss_fd001,full_mc,10,0.5,0.0,1,2,24,11.0
cmapss_fd001,full_mc,10,0.5,0.25,1,2,24,17.5
cmapss_fd001,full_mc,10,0.5,0.5,1,2,24,24.0
cmapss_fd001,full_mc,10,0.5,1.0,1,2,24,37.0
cmapss_fd001,full_mc,10,0.5,2.0,1,2,24,63.0
cmapss_fd001,full_mc,10,0.5,5.0,1,2,24,141.0
cmapss_fd001,lite_mc,10,0.5,0.0,4,2,21,41.0
cmapss_fd001,lite_mc,10,0.5,0.25,4,2,21,46.75
cmapss_fd001,lite_mc,10,0.5,0.5,4,2,21,52.5
cmapss_fd001,lite_mc,10,0.5,1.0,4,2,21,64.0
cmapss_fd001,lite_mc,10,0.5,2.0,4,2,21,87.0
cmapss_fd001,lite_mc,10,0.5,5.0,4,2,21,156.0
cmapss_fd001,lite_no_attn_mc,10,0.5,0.0,1,3,24,11.5
cmapss_fd001,lite_no_attn_mc,10,0.5,0.25,1,3,24,11.5
cmapss_fd001,lite_no_attn_mc,10,0.5,0.5,1,3,24,11.5
cmapss_fd001,lite_no_attn_mc,10,0.5,1.0,1,3,24,11.5
cmapss_fd001,lite_no_attn_mc,10,0.5,2.0,1,3,24,11.5
cmapss_fd001,lite_no_attn_mc,10,0.5,5.0,1,3,24,11.5
cmapss_fd001,lite_no_mc,10,0.5,0.0,4,2,21,41.0
cmapss_fd001,lite_no_mc,10,0.5,0.25,4,2,21,46.75
cmapss_fd001,lite_no_mc,10,0.5,0.5,4,2,21,52.5
cmapss_fd001,lite_no_mc,10,0.5,1.0,4,2,21,64.0
cmapss_fd001,lite_no_mc,10,0.5,2.0,4,2,21,87.0
cmapss_fd001,lite_no_mc,10,0.5,5.0,4,2,21,156.0
cmapss_fd001,matched_tcn,10,1.0,0.0,2,2,23,22.0
cmapss_fd001,matched_tcn,10,1.0,0.25,2,2,23,22.0
cmapss_fd001,matched_tcn,10,1.0,0.5,2,2,23,22.0
cmapss_fd001,matched_tcn,10,1.0,1.0,2,2,23,22.0
cmapss_fd001,matched_tcn,10,1.0,2.0,2,2,23,22.0
cmapss_fd001,matched_tcn,10,1.0,5.0,2,2,23,22.0
cmapss_fd001,full_mc,10,1.0,0.0,1,2,24,12.0
cmapss_fd001,full_mc,10,1.0,0.25,1,2,24,18.5
cmapss_fd001,full_mc,10,1.0,0.5,1,2,24,25.0
cmapss_fd001,full_mc,10,1.0,1.0,1,2,24,38.0
cmapss_fd001,full_mc,10,1.0,2.0,1,2,24,64.0
cmapss_fd001,full_mc,10,1.0,5.0,1,2,24,142.0
cmapss_fd001,lite_mc,10,1.0,0.0,4,2,21,42.0
cmapss_fd001,lite_mc,10,1.0,0.25,4,2,21,47.75
cmapss_fd001,lite_mc,10,1.0,0.5,4,2,21,53.5
cmapss_fd001,lite_mc,10,1.0,1.0,4,2,21,65.0
cmapss_fd001,lite_mc,10,1.0,2.0,4,2,21,88.0
cmapss_fd001,lite_mc,10,1.0,5.0,4,2,21,157.0
cmapss_fd001,lite_no_attn_mc,10,1.0,0.0,1,3,24,13.0
cmapss_fd001,lite_no_attn_mc,10,1.0,0.25,1,3,24,13.0
cmapss_fd001,lite_no_attn_mc,10,1.0,0.5,1,3,24,13.0
cmapss_fd001,lite_no_attn_mc,10,1.0,1.0,1,3,24,13.0
cmapss_fd001,lite_no_attn_mc,10,1.0,2.0,1,3,24,13.0
cmapss_fd001,lite_no_attn_mc,10,1.0,5.0,1,3,24,13.0
cmapss_fd001,lite_no_mc,10,1.0,0.0,4,2,21,42.0
cmapss_fd001,lite_no_mc,10,1.0,0.25,4,2,21,47.75
cmapss_fd001,lite_no_mc,10,1.0,0.5,4,2,21,53.5
cmapss_fd001,lite_no_mc,10,1.0,1.0,4,2,21,65.0
cmapss_fd001,lite_no_mc,10,1.0,2.0,4,2,21,88.0
cmapss_fd001,lite_no_mc,10,1.0,5.0,4,2,21,157.0
cmapss_fd001,matched_tcn,10,2.0,0.0,2,2,23,24.0
cmapss_fd001,matched_tcn,10,2.0,0.25,2,2,23,24.0
cmapss_fd001,matched_tcn,10,2.0,0.5,2,2,23,24.0
cmapss_fd001,matched_tcn,10,2.0,1.0,2,2,23,24.0
cmapss_fd001,matched_tcn,10,2.0,2.0,2,2,23,24.0
cmapss_fd001,matched_tcn,10,2.0,5.0,2,2,23,24.0
cmapss_fd001,full_mc,10,2.0,0.0,1,2,24,14.0
cmapss_fd001,full_mc,10,2.0,0.25,1,2,24,20.5
cmapss_fd001,full_mc,10,2.0,0.5,1,2,24,27.0
cmapss_fd001,full_mc,10,2.0,1.0,1,2,24,40.0
cmapss_fd001,full_mc,10,2.0,2.0,1,2,24,66.0
cmapss_fd001,full_mc,10,2.0,5.0,1,2,24,144.0
cmapss_fd001,lite_mc,10,2.0,0.0,4,2,21,44.0
cmapss_fd001,lite_mc,10,2.0,0.25,4,2,21,49.75
cmapss_fd001,lite_mc,10,2.0,0.5,4,2,21,55.5
cmapss_fd001,lite_mc,10,2.0,1.0,4,2,21,67.0
cmapss_fd001,lite_mc,10,2.0,2.0,4,2,21,90.0
cmapss_fd001,lite_mc,10,2.0,5.0,4,2,21,159.0
cmapss_fd001,lite_no_attn_mc,10,2.0,0.0,1,3,24,16.0
cmapss_fd001,lite_no_attn_mc,10,2.0,0.25,1,3,24,16.0
cmapss_fd001,lite_no_attn_mc,10,2.0,0.5,1,3,24,16.0
cmapss_fd001,lite_no_attn_mc,10,2.0,1.0,1,3,24,16.0
cmapss_fd001,lite_no_attn_mc,10,2.0,2.0,1,3,24,16.0
cmapss_fd001,lite_no_attn_mc,10,2.0,5.0,1,3,24,16.0
cmapss_fd001,lite_no_mc,10,2.0,0.0,4,2,21,44.0
cmapss_fd001,lite_no_mc,10,2.0,0.25,4,2,21,49.75
cmapss_fd001,lite_no_mc,10,2.0,0.5,4,2,21,55.5
cmapss_fd001,lite_no_mc,10,2.0,1.0,4,2,21,67.0
cmapss_fd001,lite_no_mc,10,2.0,2.0,4,2,21,90.0
cmapss_fd001,lite_no_mc,10,2.0,5.0,4,2,21,159.0
cmapss_fd001,matched_tcn,10,5.0,0.0,2,2,23,30.0
cmapss_fd001,matched_tcn,10,5.0,0.25,2,2,23,30.0
cmapss_fd001,matched_tcn,10,5.0,0.5,2,2,23,30.0
cmapss_fd001,matched_tcn,10,5.0,1.0,2,2,23,30.0
cmapss_fd001,matched_tcn,10,5.0,2.0,2,2,23,30.0
cmapss_fd001,matched_tcn,10,5.0,5.0,2,2,23,30.0
cmapss_fd001,full_mc,10,5.0,0.0,1,2,24,20.0
cmapss_fd001,full_mc,10,5.0,0.25,1,2,24,26.5
cmapss_fd001,full_mc,10,5.0,0.5,1,2,24,33.0
cmapss_fd001,full_mc,10,5.0,1.0,1,2,24,46.0
cmapss_fd001,full_mc,10,5.0,2.0,1,2,24,72.0
cmapss_fd001,full_mc,10,5.0,5.0,1,2,24,150.0
cmapss_fd001,lite_mc,10,5.0,0.0,4,2,21,50.0
cmapss_fd001,lite_mc,10,5.0,0.25,4,2,21,55.75
cmapss_fd001,lite_mc,10,5.0,0.5,4,2,21,61.5
cmapss_fd001,lite_mc,10,5.0,1.0,4,2,21,73.0
cmapss_fd001,lite_mc,10,5.0,2.0,4,2,21,96.0
cmapss_fd001,lite_mc,10,5.0,5.0,4,2,21,165.0
cmapss_fd001,lite_no_attn_mc,10,5.0,0.0,1,3,24,25.0
cmapss_fd001,lite_no_attn_mc,10,5.0,0.25,1,3,24,25.0
cmapss_fd001,lite_no_attn_mc,10,5.0,0.5,1,3,24,25.0
cmapss_fd001,lite_no_attn_mc,10,5.0,1.0,1,3,24,25.0
cmapss_fd001,lite_no_attn_mc,10,5.0,2.0,1,3,24,25.0
cmapss_fd001,lite_no_attn_mc,10,5.0,5.0,1,3,24,25.0
cmapss_fd001,lite_no_mc,10,5.0,0.0,4,2,21,50.0
cmapss_fd001,lite_no_mc,10,5.0,0.25,4,2,21,55.75
cmapss_fd001,lite_no_mc,10,5.0,0.5,4,2,21,61.5
cmapss_fd001,lite_no_mc,10,5.0,1.0,4,2,21,73.0
cmapss_fd001,lite_no_mc,10,5.0,2.0,4,2,21,96.0
cmapss_fd001,lite_no_mc,10,5.0,5.0,4,2,21,165.0
cmapss_fd001,matched_tcn,50,0.5,0.0,2,2,23,101.0
cmapss_fd001,matched_tcn,50,0.5,0.25,2,2,23,101.0
cmapss_fd001,matched_tcn,50,0.5,0.5,2,2,23,101.0
cmapss_fd001,matched_tcn,50,0.5,1.0,2,2,23,101.0
cmapss_fd001,matched_tcn,50,0.5,2.0,2,2,23,101.0
cmapss_fd001,matched_tcn,50,0.5,5.0,2,2,23,101.0
cmapss_fd001,full_mc,50,0.5,0.0,1,2,24,51.0
cmapss_fd001,full_mc,50,0.5,0.25,1,2,24,57.5
cmapss_fd001,full_mc,50,0.5,0.5,1,2,24,64.0
cmapss_fd001,full_mc,50,0.5,1.0,1,2,24,77.0
cmapss_fd001,full_mc,50,0.5,2.0,1,2,24,103.0
