dataset,miss_cost,fp_cost,explain_cost,best_models,best_cost
cmapss_fd001,10,0.5,0.0,full_mc,11.0
cmapss_fd001,10,0.5,0.25,lite_no_attn_mc,11.5
cmapss_fd001,10,0.5,0.5,lite_no_attn_mc,11.5
cmapss_fd001,10,0.5,1.0,lite_no_attn_mc,11.5
cmapss_fd001,10,0.5,2.0,lite_no_attn_mc,11.5
cmapss_fd001,10,0.5,5.0,lite_no_attn_mc,11.5
cmapss_fd001,10,1.0,0.0,full_mc,12.0
cmapss_fd001,10,1.0,0.25,lite_no_attn_mc,13.0
cmapss_fd001,10,1.0,0.5,lite_no_attn_mc,13.0
cmapss_fd001,10,1.0,1.0,lite_no_attn_mc,13.0
cmapss_fd001,10,1.0,2.0,lite_no_attn_mc,13.0
cmapss_fd001,10,1.0,5.0,lite_no_attn_mc,13.0
cmapss_fd001,10,2.0,0.0,full_mc,14.0
cmapss_fd001,10,2.0,0.25,lite_no_attn_mc,16.0
cmapss_fd001,10,2.0,0.5,lite_no_attn_mc,16.0
cmapss_fd001,10,2.0,1.0,lite_no_attn_mc,16.0
cmapss_fd001,10,2.0,2.0,lite_no_attn_mc,16.0
cmapss_fd001,10,2.0,5.0,lite_no_attn_mc,16.0
cmapss_fd001,10,5.0,0.0,full_mc,20.0
cmapss_fd001,10,5.0,0.25,lite_no_attn_mc,25.0
cmapss_fd001,10,5.0,0.5,lite_no_attn_mc,25.0
cmapss_fd001,10,5.0,1.0,lite_no_attn_mc,25.0
cmapss_fd001,10,5.0,2.0,lite_no_attn_mc,25.0
cmapss_fd001,10,5.0,5.0,lite_no_attn_mc,25.0
cmapss_fd001,50,0.5,0.0,full_mc,51.0
cmapss_fd001,50,0.5,0.25,lite_no_attn_mc,51.5
cmapss_fd001,50,0.5,0.5,lite_no_attn_mc,51.5
cmapss_fd001,50,0.5,1.0,lite_no_attn_mc,51.5
cmapss_fd001,50,0.5,2.0,lite_no_attn_mc,51.5
cmapss_fd001,50,0.5,5.0,lite_no_attn_mc,51.5
cmapss_fd001,50,1.0,0.0,full_mc,52.0
cmapss_fd001,50,1.0,0.25,lite_no_attn_mc,53.0
cmapss_fd001,50,1.0,0.5,lite_no_attn_mc,53.0
cmapss_fd001,50,1.0,1.0,lite_no_attn_mc,53.0
cmapss_fd001,50,1.0,2.0,lite_no_attn_mc,53.0
cmapss_fd001,50,1.0,5.0,lite_no_attn_mc,53.0
cmapss_fd001,50,2.0,0.0,full_mc,54.0
cmapss_fd001,50,2.0,0.25,lite_no_attn_mc,56.0
cmapss_fd001,50,2.0,0.5,lite_no_attn_mc,56.0
cmapss_fd001,50,2.0,1.0,lite_no_attn_mc,56.0
cmapss_fd001,50,2.0,2.0,lite_no_attn_mc,56.0
cmapss_fd001,50,2.0,5.0,lite_no_attn_mc,56.0
cmapss_fd001,50,5.0,0.0,full_mc,60.0
cmapss_fd001,50,5.0,0.25,lite_no_attn_mc,65.0
cmapss_fd001,50,5.0,0.5,lite_no_attn_mc,65.0
cmapss_fd001,50,5.0,1.0,lite_no_attn_mc,65.0
cmapss_fd001,50,5.0,2.0,lite_no_attn_mc,65.0
cmapss_fd001,50,5.0,5.0,lite_no_attn_mc,65.0
cmapss_fd001,100,0.5,0.0,full_mc,101.0
cmapss_fd001,100,0.5,0.25,lite_no_attn_mc,101.5
cmapss_fd001,100,0.5,0.5,lite_no_attn_mc,101.5
cmapss_fd001,100,0.5,1.0,lite_no_attn_mc,101.5
cmapss_fd001,100,0.5,2.0,lite_no_attn_mc,101.5
cmapss_fd001,100,0.5,5.0,lite_no_attn_mc,101.5
cmapss_fd001,100,1.0,0.0,full_mc,102.0
cmapss_fd001,100,1.0,0.25,lite_no_attn_mc,103.0
cmapss_fd001,100,1.0,0.5,lite_no_attn_mc,103.0
cmapss_fd001,100,1.0,1.0,lite_no_attn_mc,103.0
cmapss_fd001,100,1.0,2.0,lite_no_attn_mc,103.0
cmapss_fd001,100,1.0,5.0,lite_no_attn_mc,103.0
cmapss_fd001,100,2.0,0.0,full_mc,104.0
cmapss_fd001,100,2.0,0.25,lite_no_attn_mc,106.0
cmapss_fd001,100,2.0,0.5,lite_no_attn_mc,106.0
cmapss_fd001,100,2.0,1.0,lite_no_attn_mc,106.0
cmapss_fd001,100,2.0,2.0,lite_no_attn_mc,106.0
cmapss_fd001,100,2.0,5.0,lite_no_attn_mc,106.0
cmapss_fd001,100,5.0,0.0,full_mc,110.0
cmapss_fd001,100,5.0,0.25,lite_no_attn_mc,115.0
cmapss_fd001,100,5.0,0.5,lite_no_attn_mc,115.0
cmapss_fd001,100,5.0,1.0,lite_no_attn_mc,115.0
cmapss_fd001,100,5.0,2.0,lite_no_attn_mc,115.0
cmapss_fd001,100,5.0,5.0,lite_no_attn_mc,115.0
cmapss_fd001,500,0.5,0.0,full_mc,501.0
cmapss_fd001,500,0.5,0.25,lite_no_attn_mc,501.5
cmapss_fd001,500,0.5,0.5,lite_no_attn_mc,501.5
cmapss_fd001,500,0.5,1.0,lite_no_attn_mc,501.5
cmapss_fd001,500,0.5,2.0,lite_no_attn_mc,501.5
cmapss_fd001,500,0.5,5.0,lite_no_attn_mc,501.5
cmapss_fd001,500,1.0,0.0,full_mc,502.0
cmapss_fd001,500,1.0,0.25,lite_no_attn_mc,503.0
cmapss_fd001,500,1.0,0.5,lite_no_attn_mc,503.0
cmapss_fd001,500,1.0,1.0,lite_no_attn_mc,503.0
cmapss_fd001,500,1.0,2.0,lite_no_attn_mc,503.0
cmapss_fd001,500,1.0,5.0,lite_no_attn_mc,503.0
cmapss_fd001,500,2.0,0.0,full_mc,504.0
cmapss_fd001,500,2.0,0.25,lite_no_attn_mc,506.0
cmapss_fd001,500,2.0,0.5,lite_no_attn_mc,506.0
cmapss_fd001,500,2.0,1.0,lite_no_attn_mc,506.0
cmapss_fd001,500,2.0,2.0,lite_no_attn_mc,506.0
cmapss_fd001,500,2.0,5.0,lite_no_attn_mc,506.0
cmapss_fd001,500,5.0,0.0,full_mc,510.0
cmapss_fd001,500,5.0,0.25,lite_no_attn_mc,515.0
cmapss_fd001,500,5.0,0.5,lite_no_attn_mc,515.0
cmapss_fd001,500,5.0,1.0,lite_no_attn_mc,515.0
cmapss_fd001,500,5.0,2.0,lite_no_attn_mc,515.0
cmapss_fd001,500,5.0,5.0,lite_no_attn_mc,515.0
cmapss_fd001,1000,0.5,0.0,full_mc,1001.0
cmapss_fd001,1000,0.5,0.25,lite_no_attn_mc,1001.5
cmapss_fd001,1000,0.5,0.5,lite_no_attn_mc,1001.5
cmapss_fd001,1000,0.5,1.0,lite_no_attn_mc,1001.5
cmapss_fd001,1000,0.5,2.0,lite_no_attn_mc,1001.5
cmapss_fd001,1000,0.5,5.0,lite_no_attn_mc,1001.5
cmapss_fd001,1000,1.0,0.0,full_mc,1002.0
cmapss_fd001,1000,1.0,0.25,lite_no_attn_mc,1003.0
cmapss_fd001,1000,1.0,0.5,lite_no_attn_mc,1003.0
cmapss_fd001,1000,1.0,1.0,lite_no_attn_mc,1003.0
cmapss_fd001,1000,1.0,2.0,lite_no_attn_mc,1003.0
cmapss_fd001,1000,1.0,5.0,lite_no_attn_mc,1003.0
cmapss_fd001,1000,2.0,0.0,full_mc,1004.0
cmapss_fd001,1000,2.0,0.25,lite_no_attn_mc,1006.0
cmapss_fd001,1000,2.0,0.5,lite_no_attn_mc,1006.0
cmapss_fd001,1000,2.0,1.0,lite_no_attn_mc,1006.0
cmapss_fd001,1000,2.0,2.0,lite_no_attn_mc,1006.0
cmapss_fd001,1000,2.0,5.0,lite_no_attn_mc,1006.0
cmapss_fd001,1000,5.0,0.0,full_mc,1010.0
cmapss_fd001,1000,5.0,0.25,lite_no_attn_mc,1015.0
cmapss_fd001,1000,5.0,0.5,lite_no_attn_mc,1015.0
cmapss_fd001,1000,5.0,1.0,lite_no_attn_mc,1015.0
cmapss_fd001,1000,5.0,2.0,lite_no_attn_mc,1015.0
cmapss_fd001,1000,5.0,5.0,lite_no_attn_mc,1015.0
cmapss_fd003,10,0.5,0.0,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,10,0.5,0.25,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,10,0.5,0.5,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,10,0.5,1.0,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,10,0.5,2.0,matched_tcn+lite_no_attn_mc,1.0
cmapss_fd003,10,0.5,5.0,matched_tcn+lite_no_attn_mc,1.0
