dataset,model,threshold,failure_units,detected_units,missed_units,false_alarm_units,total_cost,cost_without_explain,explain_cost
cmapss_fd001,matched_tcn,0.55,25,23,2,2,202.0,202.0,0.0
cmapss_fd001,full_mc,0.33,25,24,1,2,115.0,102.0,13.0
cmapss_fd001,lite_mc,0.5700000000000001,25,21,4,2,413.5,402.0,11.5
cmapss_fd001,lite_no_attn_mc,0.32,25,24,1,3,103.0,103.0,0.0
cmapss_fd001,lite_no_mc,0.62,25,21,4,2,413.5,402.0,11.5
cmapss_fd003,matched_tcn,0.44,20,20,0,2,2.0,2.0,0.0
cmapss_fd003,full_mc,0.64,20,20,0,5,17.5,5.0,12.5
cmapss_fd003,lite_mc,0.55,20,20,0,3,14.5,3.0,11.5
cmapss_fd003,lite_no_attn_mc,0.62,20,20,0,2,2.0,2.0,0.0
cmapss_fd003,lite_no_mc,0.45,20,20,0,5,17.5,5.0,12.5
xjtu,matched_tcn,0.06999999999999999,4,4,0,0,0.0,0.0,0.0
xjtu,full_mc,0.88,4,4,0,0,2.0,0.0,2.0
xjtu,lite_mc,0.72,4,4,0,0,2.0,0.0,2.0
xjtu,lite_no_attn_mc,0.65,4,4,0,0,0.0,0.0,0.0
xjtu,lite_no_mc,0.72,4,4,0,0,2.0,0.0,2.0
ur3,matched_tcn,0.27,25,25,0,6,6.0,6.0,0.0
ur3,full_mc,0.27,25,25,0,9,26.0,9.0,17.0
ur3,lite_mc,0.14,25,25,0,11,29.0,11.0,18.0
ur3,lite_no_attn_mc,0.19,25,25,0,6,6.0,6.0,0.0
ur3,lite_no_mc,0.27,25,25,0,9,26.0,9.0,17.0
