model,params,single_pass_ms_per_window,mc50_ms_per_window,dataset
proposed,34754,0.26102355999999993,13.051177999999997,ur3
lstm,34721,0.2585084199999999,12.925420999999995,ur3
bilstm,26562,0.26787944000000014,13.393972000000007,ur3
gru,26498,0.2538847799999999,12.694238999999996,ur3
transformer,27617,0.26026021999999993,13.013010999999997,ur3
tcn,30433,0.2560749999999999,12.803749999999994,ur3
proposed,33218,0.3450405199999999,17.252025999999994,cmapss_fd001
lstm,33185,0.3105112999999996,15.52556499999998,cmapss_fd001
bilstm,25026,0.2949223799999999,14.746118999999993,cmapss_fd001
gru,25346,0.28628792000000014,14.314396000000007,cmapss_fd001
transformer,27233,0.27371824000000017,13.685912000000009,cmapss_fd001
tcn,29857,0.2788580199999999,13.942900999999994,cmapss_fd001
proposed,33218,0.2977515800000006,14.88757900000003,cmapss_fd003
lstm,33185,0.29923324000000023,14.961662000000011,cmapss_fd003
bilstm,25026,0.2828598200000002,14.142991000000011,cmapss_fd003
gru,25346,0.3044395999999992,15.22197999999996,cmapss_fd003
transformer,27233,0.29713160000000016,14.856580000000008,cmapss_fd003
tcn,29857,0.29218660000000085,14.609330000000043,cmapss_fd003
proposed,32706,0.29047158000000056,14.523579000000028,xjtu
lstm,32673,0.31877709999999976,15.938854999999988,xjtu
bilstm,24514,0.2828564,14.14282,xjtu
gru,24962,0.27805595999999894,13.902797999999947,xjtu
transformer,27105,0.28001718000000014,14.000859000000007,xjtu
tcn,29665,0.2696044,13.480220000000001,xjtu
