dataset,seed,model,confirm_windows,threshold,positive_units,negative_units,on_time_rate,premature_rate,missed_rate,false_alert_rate,median_detection_delay
cmapss_fd001,1,full,1,0.33,25,75,0.28,0.72,0.0,0.02666666666666667,2.0
cmapss_fd001,1,full,2,0.33,25,75,0.32,0.64,0.04,0.02666666666666667,2.0
cmapss_fd001,1,full,3,0.33,25,75,0.36,0.6,0.04,0.013333333333333334,2.0
cmapss_fd001,1,proposed_lite,1,0.5700000000000001,25,75,0.24,0.64,0.12,0.02666666666666667,5.5
cmapss_fd001,1,proposed_lite,2,0.5700000000000001,25,75,0.28,0.56,0.16,0.02666666666666667,6.0
cmapss_fd001,1,proposed_lite,3,0.5700000000000001,25,75,0.32,0.52,0.16,0.02666666666666667,5.0
cmapss_fd001,1,lstm,1,0.18000000000000002,25,75,0.2,0.8,0.0,0.013333333333333334,2.0
cmapss_fd001,1,lstm,2,0.18000000000000002,25,75,0.28,0.72,0.0,0.013333333333333334,1.0
cmapss_fd001,1,lstm,3,0.18000000000000002,25,75,0.32,0.68,0.0,0.013333333333333334,2.0
cmapss_fd001,1,tcn,1,0.2,25,75,0.32,0.68,0.0,0.05333333333333334,2.0
cmapss_fd001,1,tcn,2,0.2,25,75,0.36,0.64,0.0,0.04,3.0
cmapss_fd001,1,tcn,3,0.2,25,75,0.48,0.52,0.0,0.04,2.5
cmapss_fd001,1,timesnet,1,0.34,25,75,0.2,0.8,0.0,0.04,3.0
cmapss_fd001,1,timesnet,2,0.34,25,75,0.28,0.72,0.0,0.02666666666666667,2.0
cmapss_fd001,1,timesnet,3,0.34,25,75,0.36,0.6,0.04,0.02666666666666667,3.0
cmapss_fd001,2,full,1,0.52,25,75,0.2,0.8,0.0,0.04,2.0
cmapss_fd001,2,full,2,0.52,25,75,0.24,0.76,0.0,0.02666666666666667,3.0
cmapss_fd001,2,full,3,0.52,25,75,0.28,0.72,0.0,0.013333333333333334,4.0
cmapss_fd001,2,proposed_lite,1,0.46,25,75,0.24,0.72,0.04,0.02666666666666667,4.5
cmapss_fd001,2,proposed_lite,2,0.46,25,75,0.24,0.72,0.04,0.02666666666666667,5.5
cmapss_fd001,2,proposed_lite,3,0.46,25,75,0.36,0.52,0.12,0.02666666666666667,3.0
cmapss_fd001,2,lstm,1,0.54,25,75,0.12,0.8,0.08,0.02666666666666667,2.0
cmapss_fd001,2,lstm,2,0.54,25,75,0.16,0.76,0.08,0.02666666666666667,2.0
cmapss_fd001,2,lstm,3,0.54,25,75,0.28,0.64,0.08,0.02666666666666667,2.0
cmapss_fd001,2,tcn,1,0.49,25,75,0.32,0.68,0.0,0.04,1.5
cmapss_fd001,2,tcn,2,0.49,25,75,0.36,0.64,0.0,0.04,2.0
cmapss_fd001,2,tcn,3,0.49,25,75,0.44,0.52,0.04,0.02666666666666667,3.0
cmapss_fd001,2,timesnet,1,0.26,25,75,0.16,0.84,0.0,0.04,2.5
cmapss_fd001,2,timesnet,2,0.26,25,75,0.24,0.76,0.0,0.02666666666666667,2.5
cmapss_fd001,2,timesnet,3,0.26,25,75,0.28,0.72,0.0,0.02666666666666667,2.0
cmapss_fd001,3,full,1,0.52,25,75,0.2,0.8,0.0,0.04,2.0
cmapss_fd001,3,full,2,0.52,25,75,0.32,0.68,0.0,0.02666666666666667,1.0
cmapss_fd001,3,full,3,0.52,25,75,0.36,0.64,0.0,0.02666666666666667,2.0
cmapss_fd001,3,proposed_lite,1,0.74,25,75,0.28,0.72,0.0,0.04,2.0
cmapss_fd001,3,proposed_lite,2,0.74,25,75,0.32,0.68,0.0,0.02666666666666667,2.5
