dataset,seed,configuration,attention,mc_inference,threshold,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece
cmapss_fd001,1,attention_mc,True,True,0.5700000000000001,10196,332,9864,0.9796979207532366,0.6410835214446953,0.8554216867469879,0.7329032258064516,0.8018068887634106,0.9920738306022141,0.8285563543639624,0.015332578771867366,0.015977959777657844
cmapss_fd001,1,no_attention_mc,False,True,0.32,10196,332,9864,0.9808748528834837,0.649890590809628,0.8945783132530121,0.752851711026616,0.8319327731092437,0.9929492910816013,0.864578498951586,0.012255710647980485,0.010906111010516164
cmapss_fd001,1,attention_no_mc,True,False,0.62,10196,332,9864,0.9810710082385249,0.6597701149425287,0.8644578313253012,0.7483702737940026,0.813953488372093,0.9928329498040824,0.8386147738796662,0.014620538058778157,0.014594889116221761
cmapss_fd001,1,no_attention_no_mc,False,False,0.52,10196,332,9864,0.9832287171439781,0.6859122401847575,0.8945783132530121,0.7764705882352941,0.8432708688245315,0.9939817054104495,0.8837940013781,0.01251892475227001,0.014780601989401145
cmapss_fd001,2,attention_mc,True,True,0.46,10196,332,9864,0.9775402118477834,0.6122004357298475,0.8463855421686747,0.7104930467762326,0.7862339115836597,0.9879313482641027,0.8298102308442588,0.015367775348368903,0.01647980966875253
cmapss_fd001,2,no_attention_mc,False,True,0.55,10196,332,9864,0.9855825814044723,0.7453580901856764,0.8463855421686747,0.7926657263751763,0.8240469208211144,0.9944498187396789,0.8926020706867878,0.011159942902879805,0.008207703799949416
cmapss_fd001,2,attention_no_mc,True,False,0.48000000000000004,10196,332,9864,0.9769517457826599,0.603411513859275,0.8524096385542169,0.7066167290886392,0.7874234835837507,0.9873078078738311,0.8034506612442572,0.01750244843534463,0.014745943132496015
cmapss_fd001,2,no_attention_no_mc,False,False,0.3,10196,332,9864,0.9830325617889368,0.6888361045130641,0.8734939759036144,0.7702523240371846,0.8290451686678102,0.992837835527023,0.872685460989854,0.011216631285418239,0.007646822425485294
cmapss_fd001,3,attention_mc,True,True,0.74,10196,332,9864,0.9801883091408395,0.6365546218487395,0.9126506024096386,0.75,0.8398004434589801,0.9924201062156167,0.8116824364903347,0.019394441105767463,0.025167965312463167
cmapss_fd001,3,no_attention_mc,False,True,0.29000000000000004,10196,332,9864,0.9806786975284425,0.6451612903225806,0.9036144578313253,0.7528230865746549,0.8365867261572784,0.9943634025151702,0.8622294240374654,0.012663474972248194,0.008775488469547276
cmapss_fd001,3,attention_no_mc,True,False,0.55,10196,332,9864,0.9796979207532366,0.6326963906581741,0.8975903614457831,0.7422166874221668,0.8282379099499723,0.9933969454460176,0.8506854907639159,0.014567671672351686,0.01633312985109748
cmapss_fd001,3,no_attention_no_mc,False,False,0.23,10196,332,9864,0.978128677912907,0.6066536203522505,0.9337349397590361,0.7354685646500593,0.8428493746601414,0.9937197085177695,0.872541998625846,0.012815918897726222,0.011041886789221668
cmapss_fd001,4,attention_mc,True,True,0.5800000000000001,10196,332,9864,0.9819537073362102,0.6666666666666666,0.891566265060241,0.7628865979381443,0.835214446952596,0.9934216794184036,0.8519412556485937,0.015269251595731568,0.013893486332351459
cmapss_fd001,4,no_attention_mc,False,True,0.6,10196,332,9864,0.9832287171439781,0.6842105263157895,0.9006024096385542,0.7776332899869961,0.8470254957507082,0.9953930686248645,0.8796452886361771,0.013532117127060603,0.012515808056344682
cmapss_fd001,4,attention_no_mc,True,False,0.41000000000000003,10196,332,9864,0.9770498234601804,0.5931558935361216,0.9397590361445783,0.7272727272727273,0.8414239482200647,0.9928717302299221,0.8416920383202443,0.017296436892490396,0.018483565793856436
cmapss_fd001,4,no_attention_no_mc,False,False,0.59,10196,332,9864,0.9840133385641427,0.7076167076167076,0.8674698795180723,0.7794316644113667,0.829971181556196,0.9943530203539217,0.8647028563007749,0.012715813145330348,0.012448407500745159
cmapss_fd001,5,attention_mc,True,True,0.31,10196,332,9864,0.9753825029423303,0.5768500948766604,0.9156626506024096,0.7077997671711292,0.8194070080862533,0.9901629022171411,0.778307558702475,0.0157132645216914,0.014465180876390427
cmapss_fd001,5,no_attention_mc,False,True,0.56,10196,332,9864,0.9864652805021578,0.7621621621621621,0.8493975903614458,0.8034188034188035,0.8303886925795053,0.99493747496067,0.8935771614990926,0.010361106793877231,0.007045683136369511
cmapss_fd001,5,attention_no_mc,True,False,0.34,10196,332,9864,0.9739113377795214,0.5604395604395604,0.9216867469879518,0.6970387243735763,0.816435432230523,0.9908386587713384,0.7963982695691871,0.016464888641140738,0.01563048372816085
cmapss_fd001,5,no_attention_no_mc,False,False,0.61,10196,332,9864,0.9853864260494312,0.7142857142857143,0.9186746987951807,0.8036890645586298,0.8689458689458689,0.995621781530013,0.884960957894675,0.012343786654620487,0.012575731821549658
cmapss_fd003,1,attention_mc,True,True,0.55,13696,291,13405,0.9865654205607477,0.6202247191011236,0.9484536082474226,0.75,0.8576755748912368,0.9919712473291111,0.8395294437971377,0.010690360280353861,0.018191921218365287
cmapss_fd003,1,no_attention_mc,False,True,0.62,13696,291,13405,0.9898510514018691,0.6844660194174758,0.9690721649484536,0.802275960170697,0.8946700507614214,0.9971498556085783,0.8681939225119915,0.009473586648122874,0.017188925168058936
cmapss_fd003,1,attention_no_mc,True,False,0.45,13696,291,13405,0.9854702102803738,0.597457627118644,0.9690721649484536,0.7391874180865007,0.8618581907090465,0.9930979234039717,0.8855866871298057,0.011364854996144104,0.014298612980238544
cmapss_fd003,1,no_attention_no_mc,False,False,0.47000000000000003,13696,291,13405,0.9883907710280374,0.6578947368421053,0.9450171821305842,0.7757404795486601,0.8691529709228825,0.9957517005887171,0.882667078450945,0.008689822426422359,0.0115512318262628
cmapss_fd003,2,attention_mc,True,True,0.38,13696,291,13405,0.9886828271028038,0.67,0.9209621993127147,0.7756874095513748,0.8567774936061381,0.9941223142106026,0.889852781538004,0.008401341029347519,0.01218233414363006
cmapss_fd003,2,no_attention_mc,False,True,0.39,13696,291,13405,0.9899970794392523,0.6954314720812182,0.9415807560137457,0.8,0.8793324775353016,0.9973354559449147,0.8925396757823804,0.007203631057059313,0.019161379085753057
cmapss_fd003,2,attention_no_mc,True,False,0.5700000000000001,13696,291,13405,0.9874415887850467,0.6386946386946387,0.9415807560137457,0.7611111111111111,0.8600125549278091,0.9925672705086449,0.8889643856855592,0.010626727033836953,0.016872354579934953
cmapss_fd003,2,no_attention_no_mc,False,False,0.51,13696,291,13405,0.9887558411214953,0.66270783847981,0.9587628865979382,0.7837078651685393,0.8801261829652997,0.9971219130165053,0.9036053243900336,0.009234602179411574,0.01421553708051106
cmapss_fd003,3,attention_mc,True,True,0.34,13696,291,13405,0.9897780373831776,0.6864197530864198,0.9553264604810997,0.7988505747126436,0.8859145952836202,0.9939900355178544,0.9228713800005619,0.006930408286937501,0.006952072976248665
cmapss_fd003,3,no_attention_mc,False,True,0.25,13696,291,13405,0.9903621495327103,0.6982543640897756,0.9621993127147767,0.8092485549132948,0.8945686900958466,0.9980863169740992,0.9466279136980763,0.0058743185699803285,0.005934004605903546
cmapss_fd003,3,attention_no_mc,True,False,0.68,13696,291,13405,0.9898510514018691,0.6909547738693468,0.9450171821305842,0.7982583454281568,0.8802816901408451,0.9949975069568082,0.9329815387004728,0.009030838661958094,0.010058566220879719
cmapss_fd003,3,no_attention_no_mc,False,False,0.5,13696,291,13405,0.9898510514018691,0.6881188118811881,0.9553264604810997,0.8,0.8864795918367347,0.9975697635518367,0.9178989670440745,0.007502601870054044,0.008056015741280237
cmapss_fd003,4,attention_mc,True,True,0.45,13696,291,13405,0.9871495327102804,0.6280623608017817,0.9690721649484536,0.7621621621621621,0.8741475511469312,0.9966938017434639,0.8879070302073027,0.00910856143760746,0.013907057863307105
cmapss_fd003,4,no_attention_mc,False,True,0.36000000000000004,13696,291,13405,0.9902891355140186,0.6936274509803921,0.9725085910652921,0.8097281831187411,0.9001272264631043,0.9978973840350385,0.9256897083664987,0.006055797069520235,0.009927460431949798
cmapss_fd003,4,attention_no_mc,True,False,0.6,13696,291,13405,0.9904351635514018,0.7030456852791879,0.9518900343642611,0.8087591240875912,0.8889602053915276,0.9963674630305408,0.925492995908462,0.007767159164099484,0.009166288103901974
cmapss_fd003,4,no_attention_no_mc,False,False,0.44,13696,291,13405,0.9895589953271028,0.6796116504854369,0.9621993127147767,0.7965860597439545,0.8883248730964467,0.9984357275520367,0.9412240715742322,0.007140116937677232,0.010094035672316018
cmapss_fd003,5,attention_mc,True,True,0.37,13696,291,13405,0.9854702102803738,0.5995670995670995,0.9518900343642611,0.7357237715803453,0.8517835178351784,0.9880895342174985,0.9169472522262384,0.008767771148718235,0.013867191628684347
cmapss_fd003,5,no_attention_mc,False,True,0.59,13696,291,13405,0.9910922897196262,0.7150127226463104,0.9656357388316151,0.8216374269005848,0.9023763648041104,0.9980368406413466,0.9289121909924795,0.007652310791391852,0.011704002407309545
cmapss_fd003,5,attention_no_mc,True,False,0.2,13696,291,13405,0.9845210280373832,0.5821205821205822,0.9621993127147767,0.7253886010362695,0.851063829787234,0.9903544222997266,0.9145412993887747,0.009058049548930788,0.010327162982831165
cmapss_fd003,5,no_attention_no_mc,False,False,0.43,13696,291,13405,0.9886828271028038,0.6611374407582938,0.9587628865979382,0.782608695652174,0.8795712484237075,0.997200101003498,0.9083418811992523,0.007875854399942555,0.010013631657495574
xjtu,1,attention_mc,True,True,0.72,800,177,623,0.6875,0.376271186440678,0.6271186440677966,0.4703389830508475,0.5533399800598205,0.6669613951084147,0.428373008285888,0.23876403140271607,0.24362496158108116
xjtu,1,no_attention_mc,False,True,0.65,800,177,623,0.715,0.41414141414141414,0.6949152542372882,0.5189873417721519,0.6119402985074627,0.6953052026371394,0.41231546457352797,0.22915638343929523,0.21630530040711166
xjtu,1,attention_no_mc,True,False,0.72,800,177,623,0.7125,0.4036363636363636,0.6271186440677966,0.4911504424778761,0.5645981688708036,0.6550770374803893,0.47560521492443397,0.22243701635433952,0.21729202792048452
xjtu,1,no_attention_no_mc,False,False,0.74,800,177,623,0.7175,0.41638225255972694,0.6892655367231638,0.5191489361702127,0.6093906093906094,0.7135647631743613,0.4851076839704668,0.2251428669877431,0.22587843650951983
