dataset,effect,mean_f2_difference,sd_f2_difference,min_f2_difference,max_f2_difference,n_seeds
cmapss_fd001,mc_effect_with_attention,-0.0010023127023008004,0.009014046816428551,-0.012146599608682473,0.011562533509007822,5
cmapss_fd001,mc_effect_without_attention,-0.008820370847339599,0.019882570475327467,-0.03855717636636358,0.0170543141945122,5
cmapss_fd001,attention_effect_with_mc,-0.01750358191459007,0.016400776833145003,-0.037813009237454676,0.003213717301701724,5
cmapss_fd001,attention_effect_without_mc,-0.02532164005962887,0.024939691851306667,-0.05251043671534594,0.011452766663868741,5
cmapss_fd003,mc_effect_with_attention,-0.003175547638671561,0.00756970408620471,-0.014812654244596435,0.005632905142775035,5
cmapss_fd003,mc_effect_without_attention,0.013483988482942655,0.010810457824672237,-0.0007937054299980151,0.025517079838538903,5
cmapss_fd003,attention_effect_with_mc,-0.02895521537933594,0.01576998024420439,-0.05059284696893207,-0.008654094812226454,5
cmapss_fd003,attention_effect_without_mc,-0.012295679257721726,0.011761629978739058,-0.028507418636473436,0.0006353322950809481,5
xjtu,mc_effect_with_attention,0.0009735008760001218,0.00908066362399499,-0.01125818881098306,0.012719172175912563,5
xjtu,mc_effect_without_attention,-0.0038235716182444257,0.009199762071501494,-0.018540061073142433,0.005170172388888616,5
xjtu,attention_effect_with_mc,-0.048644103016831065,0.010545294112870914,-0.06164844842770556,-0.0405325932192897,5
xjtu,attention_effect_without_mc,-0.05344117551107561,0.012059737073604188,-0.07003984088488369,-0.042162198481488944,5
ur3,mc_effect_with_attention,-0.009435759037247115,0.012740943649508236,-0.02324794200472957,0.006887259390040312,5
ur3,mc_effect_without_attention,0.005752290122395998,0.013670439314211568,-0.014726147620158558,0.021278877108421468,5
ur3,attention_effect_with_mc,-0.03466626460011808,0.02546947780669286,-0.06695190921524408,-0.003155175368490859,5
ur3,attention_effect_without_mc,-0.019478215440474966,0.019191818751763005,-0.04625498643689163,-0.0009184886269644199,5
