dataset,model,seed,params,threshold,f2,auc_roc,auc_pr,brier,ece
cmapss_fd001,lite_w_o_attention,1,9650,0.31,0.8295964125560538,0.9929288321167884,0.8651539410482041,0.0124271940619281,0.0094984248133921
cmapss_fd001,lite_w_o_attention,2,9650,0.53,0.8304093567251462,0.9944214204750876,0.8930393545036203,0.0113355229365501,0.0080348337278326
cmapss_fd001,lite_w_o_attention,3,9650,0.31,0.8263069139966274,0.9945038670497072,0.8704673394663744,0.0128919014991911,0.0095516974075831
cmapss_fd001,lite_w_o_attention,4,9650,0.77,0.838150289017341,0.9954257418970284,0.8829193637204272,0.013804103356939,0.012552805171986
cmapss_fd001,lite_w_o_attention,5,9650,0.56,0.8298999411418482,0.9949661785829448,0.8944355449307003,0.0104973740531568,0.0069410286132862
cmapss_fd001,lite_w_o_attention,6,9650,0.3,0.8774298056155507,0.9968804659025396,0.9200844018875792,0.0116428232295849,0.0144141425204659
cmapss_fd001,lite_w_o_attention,7,9650,0.64,0.7961972667855021,0.9931612093141422,0.8662361027241526,0.0122770202571358,0.0105960556675788
cmapss_fd001,lite_w_o_attention,8,9650,0.49,0.8816637375512595,0.996638011901621,0.91888165958655,0.0083620583871559,0.0073911234628293
cmapss_fd001,lite_w_o_attention,9,9650,0.66,0.8017751479289941,0.9923101774494572,0.8698504489339001,0.012384451208126,0.0225766482445122
cmapss_fd001,lite_w_o_attention,10,9650,0.75,0.7425149700598802,0.9922558237817448,0.8340807777901653,0.0139905239696154,0.0120183566144732
cmapss_fd001,lite_w_o_mc_dropout,1,9650,0.62,0.813953488372093,0.9928329498040824,0.8386147738796662,0.0146205380587781,0.0145948891162217
cmapss_fd001,lite_w_o_mc_dropout,2,9650,0.48,0.7874234835837507,0.9873078078738312,0.8034506612442572,0.0175024484353446,0.014745943132496
cmapss_fd001,lite_w_o_mc_dropout,3,9650,0.55,0.8282379099499723,0.9933969454460176,0.8506854907639159,0.0145676716723516,0.0163331298510974
cmapss_fd001,lite_w_o_mc_dropout,4,9650,0.41,0.8414239482200647,0.992871730229922,0.8416920383202443,0.0172964368924903,0.0184835657938564
cmapss_fd001,lite_w_o_mc_dropout,5,9650,0.34,0.816435432230523,0.9908386587713384,0.7963982695691871,0.0164648886411407,0.0156304837281608
cmapss_fd001,lite_w_o_mc_dropout,6,9650,0.54,0.8142857142857143,0.9877948533794544,0.8007060956353387,0.0144230313816385,0.0164155432647156
cmapss_fd001,lite_w_o_mc_dropout,7,9650,0.56,0.7897574123989218,0.9830981468452886,0.7679379028406669,0.020170689056074,0.0256069721672325
cmapss_fd001,lite_w_o_mc_dropout,8,9650,0.22,0.8497602557272242,0.9917776336489512,0.8345855917030439,0.0150542419714968,0.0151517153666882
cmapss_fd001,lite_w_o_mc_dropout,9,9650,0.53,0.8147512864493996,0.9925129349514848,0.846869372183879,0.0137006138918903,0.0131777737319992
cmapss_fd001,lite_w_o_mc_dropout,10,9650,0.33,0.8512990602542841,0.9920063465540996,0.821664991811057,0.013369980892045,0.0152362742891119
cmapss_fd003,lite_w_o_attention,1,9650,0.6,0.8927444794952681,0.997126783743564,0.8665032960377403,0.0095198004019423,0.0154786410415245
cmapss_fd003,lite_w_o_attention,2,9650,0.37,0.8782051282051282,0.9973546824990932,0.9022748164694784,0.0070941143683554,0.0155879889566464
cmapss_fd003,lite_w_o_attention,3,9650,0.23,0.8928571428571429,0.9980676031280322,0.9456621188232054,0.0060322814510941,0.0058753369717676
cmapss_fd003,lite_w_o_attention,4,9650,0.48,0.8966861598440545,0.9979240448568328,0.9259797212944904,0.0060397615817419,0.0087547830652995
cmapss_fd003,lite_w_o_attention,5,9650,0.54,0.896136795440152,0.9980155632547224,0.9244878899501182,0.0077766581874817,0.0109786336664077
cmapss_fd003,lite_w_o_attention,6,9650,0.41,0.9001272264631043,0.9981216938337878,0.9196991422118348,0.0068617290932028,0.0091307547187408
cmapss_fd003,lite_w_o_attention,7,9650,0.67,0.8792650918635171,0.997557843088246,0.9214199780148704,0.0074663145486516,0.0096030500164794
cmapss_fd003,lite_w_o_attention,8,9650,0.6,0.881979695431472,0.9967227697517596,0.8749603326766155,0.0092426579146707,0.0127208539467072
cmapss_fd003,lite_w_o_attention,9,9650,0.42,0.870105655686762,0.9975572022031068,0.9110120250397824,0.0082613814281701,0.0137902539625038
cmapss_fd003,lite_w_o_attention,10,9650,0.75,0.9058207979071288,0.9980511964684664,0.9358511136319266,0.0079934060414394,0.0102645022458414
