dataset,model,kind,seed,params,units_1,units_2,channels,threshold,f2,auc_roc,auc_pr,brier,ece
cmapss_fd001,matched_lstm,lstm,1,9413,25,24,0,0.68,0.8100890207715133,0.9956358279834666,0.9061566986899545,0.011084688832315224,0.013123013006823584
cmapss_fd001,matched_lstm,lstm,2,9413,25,24,0,0.5,0.8584750411409764,0.9945121117071695,0.8558676772785658,0.014931715980848777,0.0161317277488435
cmapss_fd001,matched_lstm,lstm,3,9413,25,24,0,0.66,0.837696335078534,0.9962795219808676,0.9078352463448193,0.011782405673707554,0.01529283270946086
cmapss_fd001,matched_lstm,lstm,4,9413,25,24,0,0.44,0.8946488294314381,0.9977342459863787,0.9409326635217339,0.010720433191991136,0.012594728079556331
cmapss_fd001,matched_lstm,lstm,5,9413,25,24,0,0.68,0.7784773898111047,0.9918579427197842,0.8507125113645598,0.017371138420036104,0.015065587764975267
cmapss_fd001,matched_lstm,lstm,6,9413,25,24,0,0.39,0.8659852356615559,0.9952394737099248,0.8837656147300443,0.010795093997319219,0.01036696365083396
cmapss_fd001,matched_lstm,lstm,7,9413,25,24,0,0.41000000000000003,0.816917728852839,0.9919138231759155,0.8612468689658623,0.011207573525801331,0.016076423094153736
cmapss_fd001,matched_lstm,lstm,8,9413,25,24,0,0.63,0.8108108108108109,0.9933810668464612,0.8659200486862566,0.012457092877239345,0.013510311400921918
cmapss_fd001,matched_lstm,lstm,9,9413,25,24,0,0.13,0.8518312985571587,0.995956453551432,0.9030122309155031,0.0103131282447034,0.007832050784352165
cmapss_fd001,matched_lstm,lstm,10,9413,25,24,0,0.65,0.8417011222681631,0.9968459604842729,0.9232669927530277,0.00993671493762772,0.009329281002264827
cmapss_fd001,matched_gru,gru,1,9632,29,29,0,0.2,0.8296213808463252,0.9939649107378419,0.8809904266199191,0.010658571828371136,0.007762089897810875
cmapss_fd001,matched_gru,gru,2,9632,29,29,0,0.76,0.8533724340175953,0.9961567681919894,0.9138858891925143,0.011807889342552653,0.011159675946153086
