dataset,model,mc_samples,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece,threshold
ur3,full,10,1128,329,799,0.6586879432624113,0.4574468085106383,0.9148936170212766,0.6099290780141844,0.7624113475177305,0.8662081401143527,0.787583896760715,0.15373213131896532,0.11708135435238796,0.18000000000000002
ur3,full,20,1128,329,799,0.6374113475177305,0.4418604651162791,0.9240121580547113,0.5978367748279253,0.7584830339321357,0.8663222645327937,0.788675585582052,0.15405911990572313,0.11695750066614216,0.15000000000000002
ur3,full,50,1128,329,799,0.6409574468085106,0.443952802359882,0.9148936170212766,0.5978152929493545,0.7547642928786359,0.8671173313145991,0.7887016757895674,0.15367374334944192,0.11576986351836446,0.16
ur3,proposed_lite,10,1128,329,799,0.5762411347517731,0.40053404539385845,0.9118541033434651,0.5565862708719852,0.7263922518159807,0.8278585313709005,0.7302152939997495,0.2338342981810804,0.22999523610788142,0.18000000000000002
ur3,proposed_lite,20,1128,329,799,0.5771276595744681,0.4015957446808511,0.9179331306990881,0.5587419056429233,0.730174081237911,0.8286345774162993,0.7364016367821696,0.23369663275607314,0.23281971632060428,0.18000000000000002
ur3,proposed_lite,50,1128,329,799,0.5762411347517731,0.40053404539385845,0.9118541033434651,0.5565862708719852,0.7263922518159807,0.8287334852456149,0.7370698096750135,0.23388842036830035,0.23183510152966522,0.18000000000000002
cmapss_fd001,full,10,10196,332,9864,0.9790113770105924,0.6138996138996139,0.9578313253012049,0.7482352941176471,0.8613217768147345,0.9936677977115275,0.8610762164361607,0.011482997460551193,0.008886477101320457,0.17
cmapss_fd001,full,20,10196,332,9864,0.9784229109454688,0.6056603773584905,0.9668674698795181,0.7447795823665894,0.8638320775026911,0.9935658082451462,0.8594539670576262,0.011482822094598283,0.008244062514609204,0.15000000000000002
cmapss_fd001,full,50,10196,332,9864,0.9798940761082777,0.6262425447316103,0.9487951807228916,0.7544910179640718,0.860185690879301,0.9935554260838977,0.8620158578543013,0.011395743688269542,0.00838888977704425,0.21000000000000002
cmapss_fd001,proposed_lite,10,10196,332,9864,0.9795017653981953,0.6289308176100629,0.9036144578313253,0.7416563658838071,0.8310249307479224,0.9928509659074254,0.8273518288869025,0.01601614991403315,0.017661166123343612,0.55
cmapss_fd001,proposed_lite,20,10196,332,9864,0.9783248332679482,0.6086105675146771,0.9367469879518072,0.7378410438908659,0.845568243610658,0.9932940399065849,0.8279118052524477,0.01601396928006435,0.017671413938075534,0.43
cmapss_fd001,proposed_lite,50,10196,332,9864,0.9783248332679482,0.6090373280943026,0.9337349397590361,0.737217598097503,0.8437670114316821,0.9925462189390163,0.8298357967279795,0.016010801778805803,0.01771705221237155,0.43
cmapss_fd003,full,10,13696,291,13405,0.9894859813084113,0.6754176610978521,0.9725085910652921,0.7971830985915493,0.8938723941882502,0.9982173138965689,0.9244880312394884,0.010543720629154775,0.01613452035529339,0.72
cmapss_fd003,full,20,13696,291,13405,0.9899240654205608,0.6861313868613139,0.9690721649484536,0.8034188034188035,0.8952380952380953,0.9981060562363891,0.9207755831864143,0.010581861460077481,0.01609758449262487,0.74
cmapss_fd003,full,50,13696,291,13405,0.9894859813084113,0.6762589928057554,0.9690721649484536,0.7966101694915254,0.8918406072106262,0.9981370750771305,0.9224881012797143,0.010583525079758743,0.01604787896382655,0.72
cmapss_fd003,proposed_lite,10,13696,291,13405,0.9818195093457944,0.541501976284585,0.9415807560137457,0.6875784190715182,0.8203592814371258,0.9916210676890066,0.861144214486697,0.013495527324416962,0.01727253068848113,0.47000000000000003
cmapss_fd003,proposed_lite,20,13696,291,13405,0.9805052570093458,0.5226415094339623,0.9518900343642611,0.6747868453105969,0.8175914994096812,0.9918656294581573,0.8604932802391793,0.01357164143001968,0.017320830203835128,0.37
cmapss_fd003,proposed_lite,50,13696,291,13405,0.9806512850467289,0.5246212121212122,0.9518900343642611,0.6764346764346765,0.8185579196217494,0.9924193542184984,0.8598032565992417,0.013531545826489149,0.017314583214934724,0.39
xjtu,full,10,800,177,623,0.72125,0.4115384615384615,0.6045197740112994,0.4897025171624714,0.5526859504132231,0.6802604492568309,0.41907775791572205,0.31411198327799966,0.38876644253730774,0.97
xjtu,full,20,800,177,623,0.71875,0.4076923076923077,0.5988700564971752,0.4851258581235698,0.5475206611570248,0.6797526094802805,0.43217913707938643,0.3140284272099517,0.38970541451126334,0.97
xjtu,full,50,800,177,623,0.73625,0.42735042735042733,0.5649717514124294,0.48661800486618007,0.5307855626326964,0.6618784630591906,0.39123538522388757,0.3141614905389946,0.3896325137466192,0.98
xjtu,proposed_lite,10,800,177,623,0.71875,0.4117647058823529,0.632768361581921,0.49888641425389757,0.5714285714285714,0.6773313019742271,0.3658058645671375,0.33926402114267434,0.42310195427387953,0.9500000000000001
xjtu,proposed_lite,20,800,177,623,0.71625,0.40875912408759124,0.632768361581921,0.49667405764966743,0.570264765784114,0.6911926073038243,0.43583546576716325,0.33916646070468076,0.42318493917584415,0.9500000000000001
xjtu,proposed_lite,50,800,177,623,0.7175,0.41025641025641024,0.632768361581921,0.49777777777777776,0.5708460754332314,0.6599105839250574,0.3502230391510786,0.3395222588545289,0.42323692403733726,0.9500000000000001
