dataset,seed,pooling,threshold,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece
cmapss_fd001,1,learned_attention,0.33,10196,332,9864,0.982247940368772,0.6602972399150743,0.9367469879518072,0.7745952677459527,0.8643690939410784,0.994597306500943,0.8769444054066118,0.011418336204309282,0.011440032559977506
cmapss_fd001,1,uniform_mean,0.26,10196,332,9864,0.9787171439780306,0.6200417536534447,0.8945783132530121,0.7324290998766955,0.8218040951853901,0.9901128235570017,0.8288356161669462,0.012416289223171211,0.0070887441927656265
cmapss_fd001,1,terminal_state,0.34,10196,332,9864,0.9836210278540605,0.6853932584269663,0.9186746987951807,0.7850707850707851,0.8601240834743373,0.9959842411006555,0.9057975919890721,0.010020534907156983,0.008929901625909915
cmapss_fd001,2,learned_attention,0.52,10196,332,9864,0.9779325225578658,0.6046966731898239,0.9307228915662651,0.7330960854092526,0.8401305057096248,0.9939505589267044,0.8368837768891557,0.017400492413510035,0.019393805522313096
cmapss_fd001,2,uniform_mean,0.47000000000000003,10196,332,9864,0.9804825421734014,0.6521739130434783,0.858433734939759,0.741222366710013,0.8073654390934845,0.9889536857893862,0.830801785133675,0.013816210653830263,0.011499041869973149
cmapss_fd001,2,terminal_state,0.38,10196,332,9864,0.9850921930168693,0.7227722772277227,0.8795180722891566,0.7934782608695652,0.8429561200923787,0.9969351249279355,0.9230465405011665,0.009293285380314268,0.007245139839855108
cmapss_fd001,3,learned_attention,0.52,10196,332,9864,0.9774421341702628,0.5947955390334573,0.963855421686747,0.735632183908046,0.857449088960343,0.9950974823869688,0.8748994939508484,0.017386734737433483,0.025580850626218142
cmapss_fd001,3,uniform_mean,0.51,10196,332,9864,0.9790113770105924,0.6322869955156951,0.8493975903614458,0.7249357326478149,0.7948139797068771,0.9806391014178368,0.8026341005084018,0.015926435111529007,0.024294887248115384
cmapss_fd001,3,terminal_state,0.41000000000000003,10196,332,9864,0.9849941153393488,0.7048054919908466,0.927710843373494,0.8010403120936281,0.8725212464589235,0.9967690103479613,0.9251970378843121,0.009509373030600779,0.010897869962531006
cmapss_fd001,4,learned_attention,0.43,10196,332,9864,0.9838171832091016,0.6992840095465394,0.8825301204819277,0.7802929427430093,0.8385804235832857,0.9940232340554431,0.8485568404831036,0.012211547316443847,0.008815888050935757
cmapss_fd001,4,uniform_mean,0.16,10196,332,9864,0.9752844252648097,0.5719424460431655,0.9578313253012049,0.7162162162162162,0.8439490445859873,0.9948647998319311,0.8667462158367771,0.010666292342655724,0.009847974899766047
cmapss_fd001,4,terminal_state,0.75,10196,332,9864,0.9870537465672813,0.7702702702702703,0.858433734939759,0.811965811965812,0.8392226148409894,0.9961924950409912,0.9165100392734044,0.01203876117669571,0.014122688983614191
