dataset,pooling,f2_mean,f2_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,brier_mean,brier_std,ece_mean,ece_std
cmapss_fd001,learned_attention,0.8542081075313582,0.014334845304678186,0.9943806246885352,0.0004729854301428015,0.8561397447015582,0.018540456757920626,0.014768396663951832,0.002827320581783772,0.016885680211496036,0.006745726707551039
cmapss_fd001,terminal_state,0.8515762482125323,0.014241241988613155,0.9963846260956233,0.0004373893834047547,0.9145125465416207,0.010285954091678309,0.010311537119576041,0.0011063333672838443,0.010668265247557105,0.0026883241560393388
cmapss_fd001,uniform_mean,0.8203467587665656,0.019752544962906588,0.988495282834501,0.005134787106934771,0.8282726375353759,0.02448437769997986,0.013062467234654323,0.0019532459239167354,0.013140659676619032,0.006606954347442039
cmapss_fd003,learned_attention,0.8884987858927543,0.009900839754705638,0.9940273093975552,0.003363066842246487,0.9244768332476168,0.007948469559840993,0.007783663177867386,0.0023199623883449526,0.009063037350257796,0.0030060678257646536
cmapss_fd003,terminal_state,0.9027060881826905,0.006422741924176717,0.9984758725971614,0.00025209417804867684,0.9429861752387769,0.012178362525919468,0.007532721068699615,0.0012158176854854606,0.00966675193334442,0.002270894349420166
cmapss_fd003,uniform_mean,0.8640945332577872,0.010329499525525664,0.9902314236237952,0.0040443711366683465,0.883989317263637,0.03467724505992589,0.008884575732367377,0.001438259720509814,0.011596172276994002,0.0031336771304917577
ur3,learned_attention,0.7165186132885776,0.03655577522625165,0.8298169063913479,0.026297922595697177,0.7486102019173656,0.03956168519003458,0.18730527949968714,0.030101754723157376,0.17317183714042952,0.05501289035954186
ur3,terminal_state,0.7587864502548861,0.017281183813721138,0.8575643566616324,0.017571386229983787,0.7850418580373775,0.025163703465973734,0.16053499622287193,0.015030184093661048,0.1310794044636084,0.025800712561522453
ur3,uniform_mean,0.7220346024048292,0.014902926780741782,0.8353329199493288,0.025084969670113387,0.7565191268949297,0.037765077076847106,0.18600525882960137,0.02743428173816862,0.17525538110326155,0.05164613475383547
xjtu,learned_attention,0.5486179678626759,0.02178615001614247,0.7048544041497765,0.05710210951741653,0.4394060578287594,0.0649968994425999,0.24084555222792958,0.015225974582601234,0.20261359897325745,0.0303159079979495
xjtu,terminal_state,0.5997498724288131,0.021933967637079735,0.7056324872359914,0.018671727142014802,0.37504393449872153,0.04228452173190441,0.23984180746617553,0.022891196106140398,0.21182386730145666,0.029628208370610247
xjtu,uniform_mean,0.5385680356546797,0.0213343057652653,0.6851701716679817,0.0226648241989693,0.45573247928416755,0.0457202729825473,0.24956057632179487,0.023275069047694618,0.22097503920132294,0.03795022100279822
