dataset,model,params,macs_per_window,macs_million,fp32_weight_kb,int8_weight_kb,peak_activation_kb
cmapss_fd001,proposed,33602,1015248.0,1.015248,131.2578125,32.814453125,7.5
cmapss_fd001,proposed_lite,9650,292592.0,0.292592,37.6953125,9.423828125,3.75
cmapss_fd001,lstm,33569,1014288.0,1.014288,131.12890625,32.7822265625,7.5
cmapss_fd001,bilstm,25410,769488.0,0.769488,99.2578125,24.814453125,7.5
cmapss_fd001,gru,25346,764688.0,0.764688,99.0078125,24.751953125,7.75
cmapss_fd001,transformer,27233,289040.0,0.28904,106.37890625,26.5947265625,11.015625
cmapss_fd001,tcn,29857,870288.0,0.870288,116.62890625,29.1572265625,3.75
cmapss_fd001,patchtst,17345,1756192.0,1.756192,67.75390625,16.9384765625,49.0
cmapss_fd001,timesnet,27107,8524560.0,8.52456,105.88671875,26.4716796875,56.0
cmapss_fd001,matched_lstm,9413,282040.0,0.28204,36.76953125,9.1923828125,2.9296875
cmapss_fd001,matched_gru,9632,286710.0,0.28671,37.625,9.40625,3.51171875
cmapss_fd001,matched_tcn,8992,255798.0,0.255798,35.125,8.78125,1.9921875
cmapss_fd003,proposed,33602,1015248.0,1.015248,131.2578125,32.814453125,7.5
cmapss_fd003,proposed_lite,9650,292592.0,0.292592,37.6953125,9.423828125,3.75
cmapss_fd003,lstm,33569,1014288.0,1.014288,131.12890625,32.7822265625,7.5
cmapss_fd003,bilstm,25410,769488.0,0.769488,99.2578125,24.814453125,7.5
cmapss_fd003,gru,25346,764688.0,0.764688,99.0078125,24.751953125,7.75
cmapss_fd003,transformer,27233,289040.0,0.28904,106.37890625,26.5947265625,11.015625
cmapss_fd003,tcn,29857,870288.0,0.870288,116.62890625,29.1572265625,3.75
cmapss_fd003,patchtst,17345,1756192.0,1.756192,67.75390625,16.9384765625,49.0
cmapss_fd003,timesnet,27107,8524560.0,8.52456,105.88671875,26.4716796875,56.0
cmapss_fd003,matched_lstm,9413,282040.0,0.28204,36.76953125,9.1923828125,2.9296875
cmapss_fd003,matched_gru,9632,286710.0,0.28671,37.625,9.40625,3.51171875
cmapss_fd003,matched_tcn,8992,255798.0,0.255798,35.125,8.78125,1.9921875
xjtu,proposed,75730,1522384.0,1.522384,295.8203125,73.955078125,7.5
xjtu,proposed_lite,21754,438640.0,0.43864,84.9765625,21.244140625,3.75
xjtu,lstm,36129,727568.0,0.727568,141.12890625,35.2822265625,5.0
xjtu,bilstm,27970,564368.0,0.564368,109.2578125,27.314453125,5.0
xjtu,gru,27266,548368.0,0.548368,106.5078125,26.626953125,5.25
xjtu,transformer,27873,205840.0,0.20584,108.87890625,27.2197265625,6.5625
xjtu,tcn,30817,599568.0,0.599568,120.37890625,30.0947265625,2.5
xjtu,patchtst,17345,1935392.0,1.935392,67.75390625,16.9384765625,54.0
xjtu,timesnet,32867,10051600.0,10.0516,128.38671875,32.0966796875,72.0
xjtu,matched_lstm,21749,435088.0,0.435088,84.95703125,21.2392578125,2.96875
xjtu,matched_gru,21726,434200.0,0.4342,84.8671875,21.216796875,3.9375
xjtu,matched_tcn,20833,402912.0,0.402912,81.37890625,20.3447265625,2.03125
ur3,proposed,81106,815344.0,0.815344,316.8203125,79.205078125,3.75
ur3,proposed_lite,24442,246400.0,0.2464,95.4765625,23.869140625,1.875
ur3,lstm,39713,399888.0,0.399888,155.12890625,38.7822265625,2.5
ur3,bilstm,31554,318288.0,0.318288,123.2578125,30.814453125,2.5
ur3,gru,29954,301328.0,0.301328,117.0078125,29.251953125,2.75
ur3,transformer,28769,112400.0,0.1124,112.37890625,28.0947265625,2.890625
ur3,tcn,32161,313488.0,0.313488,125.62890625,31.4072265625,1.25
ur3,patchtst,17345,1361952.0,1.361952,67.75390625,16.9384765625,38.0
ur3,timesnet,40931,10136592.0,10.136592,159.88671875,39.9716796875,76.0
ur3,matched_lstm,24353,243824.0,0.243824,95.12890625,23.7822265625,1.484375
ur3,matched_gru,24270,242930.0,0.24293,94.8046875,23.701171875,2.10546875
ur3,matched_tcn,23496,228058.0,0.228058,91.78125,22.9453125,1.0546875
