dataset,model,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece,threshold
ur3,w/o_attention,1128,329,799,0.6285460992907801,0.4362606232294617,0.9361702127659576,0.5951690821256038,0.76162215628091,0.8765478124251059,0.8171202262543287,0.1565649505414617,0.1559237976961419,0.24
ur3,softmax_attention,1128,329,799,0.600177304964539,0.4190981432360742,0.96048632218845,0.5835641735918744,0.7632850241545893,0.8604410528358016,0.7874727848243526,0.157220829082207,0.1503251283726793,0.22
ur3,w/o_mc_dropout,1128,329,799,0.5585106382978723,0.3952912019826518,0.9696048632218844,0.5616197183098591,0.7512953367875648,0.8431816366202434,0.7672647094960461,0.1765045204188288,0.2048534435477662,0.29
ur3,w/o_class_weight,1128,329,799,0.6320921985815603,0.4350453172205438,0.8753799392097265,0.5812310797174571,0.7280080889787665,0.8564428940430857,0.8034135106836675,0.1206518120374147,0.0658400505450917,0.0999999999999999
ur3,w/_rolling_stats,1128,329,799,0.726063829787234,0.5204918032786885,0.7720364741641338,0.6217870257037944,0.7039911308203991,0.8242369831590399,0.6922690110035578,0.1726641253039427,0.1429586682191237,0.44
ur3,lstm,1128,329,799,0.6462765957446809,0.4482248520710059,0.9209726443768996,0.6029850746268657,0.7605421686746988,0.8680265225148456,0.7876021831254904,0.1750997823823477,0.194461087260316,0.32
ur3,bilstm,1128,329,799,0.5806737588652482,0.4076923076923077,0.9665653495440728,0.5734896302975654,0.7585877862595419,0.8697193680550536,0.7847356215193939,0.1677566759979374,0.1907823699599145,0.19
ur3,gru,1128,329,799,0.6595744680851063,0.4569640062597809,0.8875379939209727,0.6033057851239669,0.7468030690537084,0.8670032068961582,0.8018339537688229,0.158003778686236,0.156976109674425,0.3
ur3,transformer,1128,329,799,0.6826241134751773,0.4769475357710652,0.9118541033434652,0.6263048016701461,0.7712082262210797,0.8707236629373343,0.7623859172871903,0.1919481752246989,0.2400452655390011,0.46
ur3,tcn,1128,329,799,0.5558510638297872,0.3925,0.9544072948328268,0.5562444641275465,0.7419659735349716,0.8529506868387915,0.7584769576865966,0.2152777443113253,0.2738284323338075,0.38
ur3,patchtst,1128,329,799,0.6320921985815603,0.4375,0.9148936170212766,0.591937069813176,0.750998003992016,0.8198393889017808,0.6787614989997114,0.2098722332335952,0.2262324910241027,0.42
ur3,timesnet,1128,329,799,0.6888297872340425,0.4816053511705686,0.8753799392097265,0.6213592233009708,0.7523510971786834,0.8769396395950867,0.8084856001605065,0.1543240597073348,0.1604096490579346,0.38
cmapss_fd001,w/o_attention,10196,332,9864,0.9882306786975285,0.8354430379746836,0.7951807228915663,0.8148148148148148,0.8029197080291971,0.9967439710178916,0.9225211527991942,0.0094699788590412,0.0121034163888141,0.73
cmapss_fd001,softmax_attention,10196,332,9864,0.98685759121224,0.7704918032786885,0.8493975903614458,0.8080229226361032,0.8323494687131051,0.9956291101144236,0.9064484167274562,0.0104079491300846,0.0119640946165324,0.68
cmapss_fd001,w/o_mc_dropout,10196,332,9864,0.9806786975284424,0.6326129666011788,0.9698795180722892,0.7657550535077289,0.8764289602612956,0.9955723135852412,0.8879269793614986,0.0116022054895653,0.0136889541795146,0.35
cmapss_fd001,w/o_class_weight,10196,332,9864,0.98685759121224,0.7538461538461538,0.8855421686746988,0.814404432132964,0.8556461001164144,0.994277597006029,0.9040269308371468,0.0084808882754527,0.0035903457480582,0.31
cmapss_fd001,w/_rolling_stats,10196,332,9864,0.9681247548058062,0.5069582504970179,0.7680722891566265,0.6107784431137725,0.6963407973784818,0.9634624263477266,0.6654193374909168,0.0226180250941322,0.0424539325952459,0.45
cmapss_fd001,lstm,10196,332,9864,0.9880345233424872,0.8143712574850299,0.8192771084337349,0.8168168168168168,0.8182912154031288,0.99678427823215,0.9174660683709012,0.0096886405282404,0.0108161733081159,0.72
cmapss_fd001,bilstm,10196,332,9864,0.9849941153393488,0.7076566125290024,0.9186746987951808,0.799475753604194,0.8669698692438885,0.9966795405466148,0.9187258700143108,0.0101908575219394,0.0111161142580993,0.49
cmapss_fd001,gru,10196,332,9864,0.987838367987446,0.7549019607843137,0.927710843373494,0.8324324324324325,0.8870967741935484,0.9970554358553434,0.9272174441410628,0.0094001331242932,0.0103758437885647,0.56
cmapss_fd001,transformer,10196,332,9864,0.9869556688897608,0.7363420427553444,0.933734939759036,0.8233731739707836,0.8862206975414523,0.9971635324754003,0.9240506442141522,0.0094939145275933,0.011431618408346,0.49
cmapss_fd001,tcn,10196,332,9864,0.9857787367595136,0.7139588100686499,0.9397590361445785,0.811443433029909,0.8838526912181303,0.9971412413644848,0.9289939222537164,0.009533722128359,0.0109215582065305,0.48
cmapss_fd001,patchtst,10196,332,9864,0.9848960376618282,0.7170731707317073,0.8855421686746988,0.7924528301886793,0.8457997698504027,0.99572987815007,0.9110614250619083,0.0110778107148258,0.0123542959958915,0.55
cmapss_fd001,timesnet,10196,332,9864,0.987151824244802,0.7506234413965087,0.9066265060240964,0.8212824010914052,0.8704453441295547,0.9969036730865066,0.925582511897728,0.010516953623292,0.0106319790691674,0.62
cmapss_fd003,w/o_attention,13696,291,13405,0.9896320093457944,0.6778042959427207,0.9759450171821306,0.8,0.8970309538850284,0.998776165738024,0.9568425330533766,0.0066953154396003,0.0087585921967636,0.43
cmapss_fd003,softmax_attention,13696,291,13405,0.9922605140186916,0.7466666666666667,0.9621993127147768,0.8408408408408409,0.9096816114359974,0.9986964396266972,0.9556246897799436,0.0065699842929125,0.0097121401239721,0.61
cmapss_fd003,w/o_mc_dropout,13696,291,13405,0.9899970794392524,0.6905940594059405,0.9587628865979382,0.8028776978417266,0.8896683673469388,0.9964602631987092,0.9280968776829616,0.0074434692744102,0.0115096078373757,0.55
cmapss_fd003,w/o_class_weight,13696,291,13405,0.9891209112149532,0.6658878504672897,0.979381443298969,0.7927677329624478,0.8951005025125628,0.9988000066652054,0.9531757456048644,0.0039562970874643,0.0028715456760395,0.11
cmapss_fd003,w/_rolling_stats,13696,291,13405,0.9740070093457944,0.4432809773123909,0.872852233676976,0.5879629629629629,0.7311456534254461,0.9798182706099048,0.6921031539444816,0.0153372348866134,0.0285055791725519,0.35
cmapss_fd003,lstm,13696,291,13405,0.9920414719626168,0.7357512953367875,0.9759450171821306,0.8389955686853766,0.9161290322580644,0.9988484575817352,0.9529679960922594,0.005764901796806,0.0074882533931783,0.48
cmapss_fd003,bilstm,13696,291,13405,0.9916764018691588,0.7310704960835509,0.9621993127147768,0.8308605341246291,0.9049773755656108,0.998783343651584,0.9518022672693556,0.0069986420272282,0.0099432847779166,0.6
cmapss_fd003,gru,13696,291,13405,0.9910922897196262,0.7117794486215538,0.9759450171821306,0.8231884057971014,0.90850927703135,0.9986820837995772,0.9457226632878254,0.0069669969082463,0.0090062283850053,0.55
cmapss_fd003,transformer,13696,291,13405,0.9906542056074766,0.7084398976982097,0.9518900343642612,0.8123167155425219,0.8906752411575563,0.9984700789955022,0.9363870903492292,0.0065139760928048,0.009656580593358,0.51
cmapss_fd003,tcn,13696,291,13405,0.9926985981308412,0.7574123989218329,0.9656357388316152,0.8489425981873112,0.9153094462540716,0.9988425614384538,0.9526329890732652,0.0062121067186106,0.0091652171721736,0.5700000000000001
cmapss_fd003,patchtst,13696,291,13405,0.9910192757009346,0.7068965517241379,0.986254295532646,0.8235294117647058,0.9140127388535032,0.999321943522638,0.9718479862539976,0.006673845494495,0.0106795985560995,0.54
cmapss_fd003,timesnet,13696,291,13405,0.9911653037383178,0.7083333333333334,0.993127147766323,0.82689556509299,0.9192111959287532,0.9992111985705696,0.966684233085136,0.0067061860535935,0.0100638779581586,0.52
ur3,random_forest,1128,329,799,0.6134751773049646,0.4281879194630872,0.9696048632218844,0.5940409683426443,0.7738961669092673,0.8707274670846155,0.777369314031261,0.1368992569413477,0.1003330106033779,0.18
ur3,gradient_boosting,1128,329,799,0.6365248226950354,0.4407027818448023,0.9148936170212766,0.5948616600790514,0.7528764382191095,0.8778944805627095,0.8165881196161812,0.1481178251922958,0.1295462375438729,0.11
cmapss_fd001,random_forest,10196,332,9864,0.9796979207532366,0.6463700234192038,0.8313253012048193,0.7272727272727273,0.7863247863247863,0.9918661873772464,0.8457550975890389,0.0115951757893218,0.0110057610667995,0.29
cmapss_fd001,gradient_boosting,10196,332,9864,0.984209493919184,0.7050359712230215,0.8855421686746988,0.7850467289719626,0.8424068767908309,0.9955854439656436,0.8995564369940363,0.0089820946371193,0.0036540095424094,0.3
