model,family,seed,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece,threshold,dataset
random_forest,machine learning,1,10196,332,9864,0.9804825421734014,0.6587112171837709,0.8313253012048193,0.7350199733688415,0.7899255867200916,0.9918124444249016,0.8443589313984952,0.0116264864586572,0.0111370470467758,0.3,cmapss_fd001
gradient_boosting,machine learning,1,10196,332,9864,0.9830325617889368,0.6861826697892272,0.8825301204819277,0.7720685111989459,0.8347578347578347,0.9951084752635848,0.8927887906673789,0.0095176515257294,0.003297779331848,0.26,cmapss_fd001
random_forest,machine learning,2,10196,332,9864,0.98028638681836,0.657074340527578,0.8253012048192772,0.7316421895861148,0.7851002865329513,0.9916441923411408,0.8448839608450894,0.0116443127758744,0.0111416040466007,0.3,cmapss_fd001
gradient_boosting,machine learning,2,10196,332,9864,0.9864652805021578,0.7650273224043715,0.8433734939759037,0.8022922636103151,0.8264462809917356,0.9956187279531752,0.8966231752288425,0.0091557687929604,0.0031494424842095,0.36,cmapss_fd001
random_forest,machine learning,3,10196,332,9864,0.9787171439780306,0.631578947368421,0.8313253012048193,0.717815344603381,0.7818696883852692,0.9914197544435648,0.84343175993191,0.0117050442159626,0.0111464089101608,0.28,cmapss_fd001
gradient_boosting,machine learning,3,10196,332,9864,0.9860729697920754,0.7473958333333334,0.8644578313253012,0.8016759776536313,0.8382009345794392,0.9954254365393446,0.8988802778847637,0.0091761722896358,0.0038614991084368,0.35,cmapss_fd001
random_forest,machine learning,4,10196,332,9864,0.9750882699097684,0.5792682926829268,0.858433734939759,0.691747572815534,0.782967032967033,0.9914789938342176,0.844656243789121,0.0116946259380731,0.0113503105939224,0.24,cmapss_fd001
gradient_boosting,machine learning,4,10196,332,9864,0.9816594743036484,0.6579520697167756,0.9096385542168676,0.7635903919089759,0.8449916060436485,0.9947386871085314,0.8866007983924357,0.009737209709337,0.0052493772650601,0.23,cmapss_fd001
random_forest,machine learning,5,10196,332,9864,0.9803844644958808,0.6617647058823529,0.8132530120481928,0.7297297297297297,0.7776497695852534,0.9917690836338052,0.8439093387463161,0.0116585028601318,0.0109224438806737,0.31,cmapss_fd001
gradient_boosting,machine learning,5,10196,332,9864,0.984209493919184,0.7070217917675545,0.8795180722891566,0.7838926174496644,0.8385985066053991,0.9951057270444308,0.889989679902442,0.0094659383628812,0.0031674396387049,0.28,cmapss_fd001
random_forest,machine learning,6,10196,332,9864,0.9808748528834836,0.6708229426433915,0.8102409638554217,0.7339699863574352,0.7779063042220937,0.9914246401665054,0.8419005922884462,0.0117407734044269,0.0115383141450423,0.32,cmapss_fd001
gradient_boosting,machine learning,6,10196,332,9864,0.9853864260494312,0.7340153452685422,0.8644578313253012,0.7939142461964038,0.8347876672484003,0.9953481810453492,0.8933781681344062,0.009273999606554,0.004971747960497,0.34,cmapss_fd001
random_forest,machine learning,7,10196,332,9864,0.9813652412710868,0.6820512820512821,0.8012048192771084,0.7368421052631579,0.7741559953434226,0.9917251121273416,0.8423341869096422,0.0116867167020401,0.0109509041350769,0.32,cmapss_fd001
gradient_boosting,machine learning,7,10196,332,9864,0.983228717143978,0.6825396825396826,0.9066265060240964,0.7787839586028461,0.8507631430186546,0.995246191578968,0.8937733988832026,0.0093176704976551,0.003957386575341,0.26,cmapss_fd001
random_forest,machine learning,8,10196,332,9864,0.9816594743036484,0.6835443037974683,0.8132530120481928,0.7427785419532325,0.783517121300058,0.991682056693929,0.841670184987941,0.0116150927566746,0.0110263088608925,0.32,cmapss_fd001
gradient_boosting,machine learning,8,10196,332,9864,0.9865633581796784,0.768595041322314,0.8403614457831325,0.8028776978417266,0.8249556475458308,0.9949722857366204,0.8848382071380527,0.0093182316794357,0.0045928296729733,0.4,cmapss_fd001
random_forest,machine learning,9,10196,332,9864,0.9752844252648096,0.5806451612903226,0.8674698795180723,0.6956521739130435,0.7894736842105263,0.9916280083839006,0.8449494103880133,0.0116124602669529,0.0112333731059035,0.23,cmapss_fd001
gradient_boosting,machine learning,9,10196,332,9864,0.9834248724990192,0.691764705882353,0.8855421686746988,0.7767503302509907,0.838562464346834,0.9954324597660716,0.8986789334600408,0.0091023254144585,0.0030760449607126,0.22,cmapss_fd001
random_forest,machine learning,10,10196,332,9864,0.9787171439780306,0.632183908045977,0.8283132530120482,0.7170795306388527,0.7799205899035735,0.9916215958725414,0.8439166150764642,0.0116926135429684,0.0114295689315007,0.29,cmapss_fd001
gradient_boosting,machine learning,10,10196,332,9864,0.9826402510788544,0.6781609195402298,0.8885542168674698,0.7692307692307693,0.8366420873511061,0.9949325892377296,0.8893453493517908,0.0096929024537725,0.0057357010073476,0.3,cmapss_fd001
random_forest,machine learning,1,13696,291,13405,0.9878796728971962,0.676056338028169,0.8247422680412371,0.7430340557275542,0.7899934167215273,0.9954694547733768,0.8601287444709732,0.0073877694972361,0.0069308668596464,0.36,cmapss_fd003
gradient_boosting,machine learning,1,13696,291,13405,0.9881717289719626,0.656934306569343,0.9278350515463918,0.7692307692307693,0.8571428571428571,0.9976192398845894,0.9139909219012629,0.00584955097918,0.004036221463838,0.23,cmapss_fd003
random_forest,machine learning,2,13696,291,13405,0.9883907710280374,0.6941176470588235,0.8109965635738832,0.7480190174326465,0.7845744680851063,0.9955430283873664,0.8592145417732825,0.0074019198291609,0.0067590898016348,0.38,cmapss_fd003
gradient_boosting,machine learning,2,13696,291,13405,0.9834258177570092,0.5666666666666667,0.9347079037800688,0.7055771725032426,0.8272506082725061,0.9966876492461268,0.8883266612603428,0.00739733526566,0.0082606880364876,0.22,cmapss_fd003
random_forest,machine learning,3,13696,291,13405,0.9845210280373832,0.5887640449438202,0.9003436426116839,0.7119565217391305,0.8141702921068987,0.99533768878874,0.8572429022371456,0.0074253205169421,0.0065745821318664,0.25,cmapss_fd003
gradient_boosting,machine learning,3,13696,291,13405,0.9869304906542056,0.6278538812785388,0.9450171821305842,0.7544581618655692,0.8583021223470662,0.9973577587477616,0.9072129434680902,0.00628430556736,0.0052316049459214,0.23,cmapss_fd003
random_forest,machine learning,4,13696,291,13405,0.9891939252336448,0.7134328358208956,0.8213058419243986,0.7635782747603834,0.7971981320880587,0.9955348250575836,0.8619815489243049,0.0073225503932851,0.0072102039651284,0.4,cmapss_fd003
gradient_boosting,machine learning,4,13696,291,13405,0.9858352803738316,0.6114942528735632,0.9140893470790378,0.7327823691460055,0.8317698561601,0.9968509467796164,0.8927562831655573,0.0072078059853083,0.0080225462053271,0.3,cmapss_fd003
random_forest,machine learning,5,13696,291,13405,0.9869304906542056,0.6458333333333334,0.852233676975945,0.7348148148148148,0.8010335917312662,0.9956568495881032,0.8609953649455778,0.0073705305389325,0.006895297341324,0.33,cmapss_fd003
