dataset,model,uncertainty,replicate,seed,target_coverage,actual_coverage,risk,n_kept,n_test_windows
cmapss_fd001,full,mc_dropout,seed,1,0.5,0.6473126716359356,0.00015151515151515152,6600,10196
cmapss_fd001,full,mc_dropout,seed,1,0.55,0.6994899960768929,0.00014021312394840157,7132,10196
cmapss_fd001,full,mc_dropout,seed,1,0.6,0.7530404080031385,0.00013024225058609013,7678,10196
cmapss_fd001,full,mc_dropout,seed,1,0.65,0.8020792467634367,0.00012227928588897041,8178,10196
cmapss_fd001,full,mc_dropout,seed,1,0.7,0.8440564927422519,0.00011619800139437602,8606,10196
cmapss_fd001,full,mc_dropout,seed,1,0.75,0.8834837191055316,0.00011101243339253997,9008,10196
cmapss_fd001,full,mc_dropout,seed,1,0.8,0.9150647312671636,0.00021436227224008573,9330,10196
cmapss_fd001,full,mc_dropout,seed,1,0.85,0.9325225578658297,0.0005258729490954985,9508,10196
cmapss_fd001,full,mc_dropout,seed,1,0.9,0.9550804236955669,0.002978024234955843,9738,10196
cmapss_fd001,full,mc_dropout,seed,1,0.95,0.9787171439780306,0.008618098005812206,9979,10196
cmapss_fd001,full,mc_dropout,seed,1,1.0,1.0,0.01775205963122793,10196,10196
cmapss_fd001,full,confidence,seed,1,0.5,0.6479011377010593,0.0,6606,10196
cmapss_fd001,full,confidence,seed,1,0.55,0.7050804236955669,0.0,7189,10196
cmapss_fd001,full,confidence,seed,1,0.6,0.7658885837583366,0.00012805736970162632,7809,10196
cmapss_fd001,full,confidence,seed,1,0.65,0.8134562573558258,0.00012056908608632747,8294,10196
cmapss_fd001,full,confidence,seed,1,0.7,0.8593566104354649,0.00011412919424788861,8762,10196
cmapss_fd001,full,confidence,seed,1,0.75,0.8934876422126324,0.0001097694840834248,9110,10196
cmapss_fd001,full,confidence,seed,1,0.8,0.9172224401726167,0.000213857998289136,9352,10196
cmapss_fd001,full,confidence,seed,1,0.85,0.9338956453511181,0.000630119722747322,9522,10196
cmapss_fd001,full,confidence,seed,1,0.9,0.9535111808552373,0.0025714873482822463,9722,10196
cmapss_fd001,full,confidence,seed,1,0.95,0.9795017653981953,0.008110543706818865,9987,10196
cmapss_fd001,full,confidence,seed,1,1.0,1.0,0.01775205963122793,10196,10196
cmapss_fd001,full,mc_dropout,seed,2,0.5,0.6102393095331503,0.0,6222,10196
cmapss_fd001,full,mc_dropout,seed,2,0.55,0.665457041977246,0.0,6785,10196
cmapss_fd001,full,mc_dropout,seed,2,0.6,0.7175362887406826,0.0001366867140513942,7316,10196
cmapss_fd001,full,mc_dropout,seed,2,0.65,0.7707924676343664,0.00038172795521058657,7859,10196
cmapss_fd001,full,mc_dropout,seed,2,0.7,0.8208120831698705,0.0004779543553590632,8369,10196
