dataset,model,threshold,confirm_windows,failure_units,detected_units,missed_units,detection_rate,non_failure_units,false_alarm_units,false_alarm_rate,mean_lead,median_lead
cmapss_fd001,full,0.32,1,25,25,0,1.0,75,2,0.02666666666666667,-6.24,-4.0
cmapss_fd001,full,0.32,2,25,25,0,1.0,75,2,0.02666666666666667,-5.24,-3.0
cmapss_fd001,full,0.32,3,25,24,1,0.96,75,1,0.013333333333333334,-4.375,-2.0
cmapss_fd001,proposed_lite,0.5700000000000001,1,25,22,3,0.88,75,2,0.02666666666666667,-5.590909090909091,-6.0
cmapss_fd001,proposed_lite,0.5700000000000001,2,25,21,4,0.84,75,2,0.02666666666666667,-4.9523809523809526,-5.0
cmapss_fd001,proposed_lite,0.5700000000000001,3,25,21,4,0.84,75,2,0.02666666666666667,-3.9523809523809526,-4.0
cmapss_fd001,lstm,0.18000000000000002,1,25,25,0,1.0,75,1,0.013333333333333334,-6.36,-4.0
cmapss_fd001,lstm,0.18000000000000002,2,25,25,0,1.0,75,1,0.013333333333333334,-5.16,-3.0
cmapss_fd001,lstm,0.18000000000000002,3,25,25,0,1.0,75,1,0.013333333333333334,-3.72,-2.0
cmapss_fd001,tcn,0.2,1,25,25,0,1.0,75,4,0.05333333333333334,-5.48,-4.0
cmapss_fd001,tcn,0.2,2,25,25,0,1.0,75,3,0.04,-4.4,-3.0
cmapss_fd001,tcn,0.2,3,25,25,0,1.0,75,3,0.04,-3.4,-2.0
cmapss_fd001,timesnet,0.34,1,25,25,0,1.0,75,3,0.04,-5.76,-6.0
cmapss_fd001,timesnet,0.34,2,25,25,0,1.0,75,2,0.02666666666666667,-4.08,-5.0
cmapss_fd001,timesnet,0.34,3,25,24,1,0.96,75,2,0.02666666666666667,-3.0,-3.5
cmapss_fd003,full,0.64,1,20,20,0,1.0,80,6,0.075,-6.2,-7.0
cmapss_fd003,full,0.64,2,20,20,0,1.0,80,5,0.0625,-5.2,-6.0
cmapss_fd003,full,0.64,3,20,20,0,1.0,80,2,0.025,-4.2,-5.0
cmapss_fd003,proposed_lite,0.51,1,20,20,0,1.0,80,4,0.05,-7.75,-8.5
cmapss_fd003,proposed_lite,0.51,2,20,20,0,1.0,80,4,0.05,-6.75,-7.5
cmapss_fd003,proposed_lite,0.51,3,20,20,0,1.0,80,4,0.05,-5.75,-6.5
cmapss_fd003,lstm,0.47000000000000003,1,20,20,0,1.0,80,2,0.025,-4.85,-4.5
cmapss_fd003,lstm,0.47000000000000003,2,20,20,0,1.0,80,2,0.025,-3.85,-3.5
cmapss_fd003,lstm,0.47000000000000003,3,20,20,0,1.0,80,2,0.025,-2.85,-2.5
cmapss_fd003,tcn,0.61,1,20,20,0,1.0,80,2,0.025,-1.45,-0.5
cmapss_fd003,tcn,0.61,2,20,20,0,1.0,80,1,0.0125,-0.45,0.5
cmapss_fd003,tcn,0.61,3,20,19,1,0.95,80,1,0.0125,0.42105263157894735,1.0
cmapss_fd003,timesnet,0.28,1,20,20,0,1.0,80,5,0.0625,-8.45,-8.5
cmapss_fd003,timesnet,0.28,2,20,20,0,1.0,80,3,0.0375,-5.95,-5.5
cmapss_fd003,timesnet,0.28,3,20,20,0,1.0,80,3,0.0375,-4.8,-4.5
xjtu,full,0.87,1,4,4,0,1.0,0,0,0.0,-33.0,-31.0
xjtu,full,0.87,2,4,4,0,1.0,0,0,0.0,-28.0,-30.0
xjtu,full,0.87,3,4,4,0,1.0,0,0,0.0,-26.25,-29.0
xjtu,proposed_lite,0.72,1,4,4,0,1.0,0,0,0.0,-34.5,-32.0
xjtu,proposed_lite,0.72,2,4,4,0,1.0,0,0,0.0,-33.5,-31.0
xjtu,proposed_lite,0.72,3,4,4,0,1.0,0,0,0.0,-32.5,-30.0
xjtu,lstm,0.9,1,4,4,0,1.0,0,0,0.0,-26.75,-34.0
xjtu,lstm,0.9,2,4,4,0,1.0,0,0,0.0,-25.75,-33.0
xjtu,lstm,0.9,3,4,4,0,1.0,0,0,0.0,-24.75,-32.0
xjtu,tcn,0.81,1,4,4,0,1.0,0,0,0.0,-25.75,-36.0
xjtu,tcn,0.81,2,4,4,0,1.0,0,0,0.0,-24.75,-35.0
xjtu,tcn,0.81,3,4,4,0,1.0,0,0,0.0,-23.75,-34.0
xjtu,timesnet,0.66,1,4,4,0,1.0,0,0,0.0,-27.75,-37.5
xjtu,timesnet,0.66,2,4,4,0,1.0,0,0,0.0,-25.25,-33.5
xjtu,timesnet,0.66,3,4,4,0,1.0,0,0,0.0,-24.25,-32.5
ur3,full,0.34,1,25,25,0,1.0,11,8,0.7272727272727273,-1.52,0.0
ur3,full,0.34,2,25,25,0,1.0,11,7,0.6363636363636364,-0.4,1.0
ur3,full,0.34,3,25,25,0,1.0,11,7,0.6363636363636364,0.92,2.0
ur3,proposed_lite,0.12,1,25,25,0,1.0,11,11,1.0,-1.52,0.0
ur3,proposed_lite,0.12,2,25,25,0,1.0,11,11,1.0,-0.52,1.0
ur3,proposed_lite,0.12,3,25,25,0,1.0,11,10,0.9090909090909091,0.76,2.0
ur3,lstm,0.15000000000000002,1,25,25,0,1.0,11,8,0.7272727272727273,-1.24,0.0
ur3,lstm,0.15000000000000002,2,25,25,0,1.0,11,8,0.7272727272727273,-0.24,1.0
ur3,lstm,0.15000000000000002,3,25,25,0,1.0,11,7,0.6363636363636364,1.2,2.0
ur3,tcn,0.24000000000000002,1,25,25,0,1.0,11,9,0.8181818181818182,-1.48,0.0
ur3,tcn,0.24000000000000002,2,25,25,0,1.0,11,9,0.8181818181818182,-0.04,1.0
ur3,tcn,0.24000000000000002,3,25,25,0,1.0,11,8,0.7272727272727273,1.36,2.0
ur3,timesnet,0.27,1,25,25,0,1.0,11,8,0.7272727272727273,-1.52,0.0
ur3,timesnet,0.27,2,25,25,0,1.0,11,8,0.7272727272727273,-0.4,1.0
ur3,timesnet,0.27,3,25,24,1,0.96,11,4,0.36363636363636365,2.125,2.0
