dataset,model,uncertainty_type,reject_frac,coverage,f2,auc_roc,auc_pr,brier,ece
ur3,full,MC,0.0,1.0,0.7383773928896992,0.8544266959839618,0.7730693746546161,0.1644480115596318,0.1677048668820173
ur3,full,MC,0.1,0.9069148936170213,0.7412626832018039,0.86660559156252,0.7936578056426635,0.16069475225468727,0.1631409232946202
ur3,full,MC,0.2,0.7721631205673759,0.7654402102496715,0.890626733222407,0.8309345762054101,0.14940878967763407,0.15200729750259326
ur3,proposed_lite,MC,0.0,1.0,0.742132456552372,0.8504095164548392,0.7672690424391166,0.17649451401401783,0.1880573655300318
ur3,proposed_lite,MC,0.1,0.8803191489361702,0.7682154171066525,0.8677096860438469,0.7966675009718576,0.17026389506582962,0.17792314669156722
ur3,proposed_lite,MC,0.2,0.7163120567375887,0.8032786885245902,0.9040019208089995,0.8504356611879368,0.15505390058046736,0.17009935146289887
ur3,lstm,pseudo,0.0,1.0,0.7605421686746988,0.8680265225148456,0.7876021831254904,0.17509978238234775,0.194461087260316
ur3,lstm,pseudo,0.1,0.8297872340425532,0.7962962962962963,0.8968720297243584,0.8344989127417477,0.15894897367060914,0.17824774153498757
ur3,lstm,pseudo,0.2,0.7340425531914894,0.8327574291637871,0.9078144649880932,0.8561551319656501,0.14575340839888976,0.15496297559480446
ur3,tcn,pseudo,0.0,1.0,0.7419659735349716,0.8529506868387915,0.7584769576865966,0.2152777443113253,0.27382843233380755
ur3,tcn,pseudo,0.1,0.8962765957446809,0.7690315898498188,0.8599281024173729,0.7770976580969676,0.21125693079743127,0.26442059140530827
ur3,tcn,pseudo,0.2,0.8076241134751773,0.8012283640424344,0.8588175165019194,0.7889969494532438,0.2084357730780193,0.25083400009754064
ur3,timesnet,pseudo,0.0,1.0,0.7523510971786834,0.8769396395950867,0.8084856001605065,0.15432405970733484,0.16040964905793467
ur3,timesnet,pseudo,0.1,0.8581560283687943,0.792831105710814,0.9009406757751129,0.8447535388284932,0.13851214852993066,0.13302150526091702
ur3,timesnet,pseudo,0.2,0.7473404255319149,0.8291457286432161,0.9260259604038287,0.8826534686569792,0.12178796400113354,0.12572942471323914
cmapss_fd001,full,MC,0.0,1.0,0.8657534246575342,0.9955258992173072,0.8914111174819223,0.011428350593961337,0.013741899075147522
cmapss_fd001,full,MC,0.1,0.9547861906630051,0.9560975609756097,0.998602517042475,0.9585200115476199,0.00295930688230038,0.004607191668157516
cmapss_fd001,full,MC,0.2,0.9196743821106316,0.975609756097561,0.9983971386076423,0.9819888845223117,0.000220971326303662,0.0021981994886739087
cmapss_fd001,proposed_lite,MC,0.0,1.0,0.8294797687861272,0.9928833338219056,0.8459572026682795,0.013039715972031976,0.016432632620546127
cmapss_fd001,proposed_lite,MC,0.1,0.955276579050608,0.9395973154362416,0.995742408168265,0.9146464090713038,0.003997463503135553,0.0075969358825830465
cmapss_fd001,proposed_lite,MC,0.2,0.9170262848175755,0.9459459459459459,0.9931514632355513,0.9473767185211995,0.0006564699862281677,0.003830947148648494
cmapss_fd001,lstm,pseudo,0.0,1.0,0.8182912154031288,0.9967842782321499,0.9174660683709011,0.00968864052824047,0.010816173308115911
cmapss_fd001,lstm,pseudo,0.1,0.9565515888583759,0.9830667920978363,0.9996961123336476,0.9867331267065131,0.0014679499296312935,0.003623878064748798
cmapss_fd001,lstm,pseudo,0.2,0.9131031777167516,1.0,1.0,0.9999999999999999,5.874291090610921e-06,0.00215159473524586
cmapss_fd001,tcn,pseudo,0.0,1.0,0.8838526912181303,0.9971412413644847,0.9289939222537165,0.009533722128359071,0.010921558206530561
cmapss_fd001,tcn,pseudo,0.1,0.9592977638289525,0.9767025089605734,0.9997046517351711,0.9876327200292988,0.0016233773317093976,0.0023835937191971496
cmapss_fd001,tcn,pseudo,0.2,0.9186936053354257,1.0,1.0,0.9999999999999998,3.4362557368908237e-06,0.0008208770098920216
cmapss_fd001,timesnet,pseudo,0.0,1.0,0.8704453441295547,0.9969036730865066,0.9255825118977279,0.010516953623292063,0.010631979069167496
cmapss_fd001,timesnet,pseudo,0.1,0.9619458611220086,0.9773123909249564,0.999637964250817,0.9866509346408279,0.001930979358316191,0.002014388263645827
cmapss_fd001,timesnet,pseudo,0.2,0.915457041977246,1.0,1.0,0.9999999999999999,3.158476772527571e-07,0.00016895353723555255
cmapss_fd003,full,MC,0.0,1.0,0.889315419065899,0.997600782392578,0.9352283534600384,0.0073421791416339805,0.011435831276158352
cmapss_fd003,full,MC,0.1,0.9596232476635514,0.9693318729463308,0.9987430321185342,0.9801529124017536,0.0008206630791177914,0.0024491377160115236
cmapss_fd003,full,MC,0.2,0.9292494158878505,0.9776536312849162,0.9978148733482594,0.9783358514924525,0.00016391464867379448,0.0018644466060955393
cmapss_fd003,proposed_lite,MC,0.0,1.0,0.8795712484237075,0.9940895008914712,0.9100011014332663,0.008269808841013275,0.01512597372677073
cmapss_fd003,proposed_lite,MC,0.1,0.9599883177570093,0.9615384615384616,0.9940703350518713,0.944277948026916,0.0015561896751969913,0.005195848929629484
cmapss_fd003,proposed_lite,MC,0.2,0.9237733644859814,0.9453781512605042,0.9900168913962856,0.9484477035785609,0.0004956207819150912,0.003427227005152573
cmapss_fd003,lstm,pseudo,0.0,1.0,0.9161290322580645,0.9988484575817353,0.9529679960922594,0.005764901796806068,0.0074882533931783755
cmapss_fd003,lstm,pseudo,0.1,0.962178738317757,1.0,1.0,0.9999999999999999,4.975004594987159e-06,0.0009584060741769677
cmapss_fd003,lstm,pseudo,0.2,0.9228241822429907,1.0,1.0,1.0,7.968883779406481e-07,0.000614103524622672
cmapss_fd003,tcn,pseudo,0.0,1.0,0.9153094462540716,0.9988425614384538,0.9526329890732653,0.0062121067186106365,0.009165217172173647
cmapss_fd003,tcn,pseudo,0.1,0.9601343457943925,0.9988776655443322,0.9999939368111785,0.9995437989602589,8.861760049860413e-05,0.0008505580176293008
cmapss_fd003,tcn,pseudo,0.2,0.9233352803738317,1.0,1.0,1.0000000000000004,4.478871671477893e-07,0.00023234549594935213
cmapss_fd003,timesnet,pseudo,0.0,1.0,0.9192111959287532,0.9992111985705697,0.9666842330851361,0.006706186053593513,0.010063877958158647
cmapss_fd003,timesnet,pseudo,0.1,0.9652453271028038,0.989628349178911,0.9999199983596303,0.9954044927378904,0.0008821745993212234,0.0012638660330972968
cmapss_fd003,timesnet,pseudo,0.2,0.923992406542056,1.0,1.0,1.0,1.2956316336190424e-07,0.0001402186128749291
xjtu,full,MC,0.0,1.0,0.5498458376156218,0.6605907264829374,0.4705439300683868,0.44073557786892453,0.5098791562020779
xjtu,full,MC,0.1,0.8875,0.6009334889148191,0.6519285152720574,0.4800247472508898,0.4261084603221921,0.4987336914304277
xjtu,full,MC,0.2,0.8275,0.5874840357598978,0.6383938244853736,0.47688670798222277,0.41056924972433906,0.48465816365988235
xjtu,proposed_lite,MC,0.0,1.0,0.522466039707419,0.6421180546109132,0.4105631928105044,0.4258248158227235,0.5115636072307825
xjtu,proposed_lite,MC,0.1,0.88,0.5157232704402516,0.6171480144404331,0.4007463263308233,0.4101404862968703,0.5013096376576207
xjtu,proposed_lite,MC,0.2,0.785,0.45454545454545453,0.548003098060345,0.34436454651808046,0.40894603189392864,0.5103982705029713
xjtu,lstm,pseudo,0.0,1.0,0.6135902636916836,0.6718085444042404,0.3326586099185125,0.34146259601172035,0.4175767908245325
xjtu,lstm,pseudo,0.1,0.83375,0.6186094069529653,0.6549941927990708,0.35149963814771557,0.3576177052742709,0.40231827102500994
xjtu,lstm,pseudo,0.2,0.71625,0.6707317073170732,0.6432853717026379,0.3529474299940756,0.3821135196379445,0.4359963584112663
xjtu,tcn,pseudo,0.0,1.0,0.6512820512820513,0.7188063951537574,0.6352960539603059,0.3972282689285626,0.5003558939695358
xjtu,tcn,pseudo,0.1,1.0,0.6512820512820513,0.7188063951537574,0.6352960539603059,0.3972282689285626,0.5003558939695358
xjtu,tcn,pseudo,0.2,1.0,0.6512820512820513,0.7188063951537574,0.6352960539603059,0.3972282689285626,0.5003558939695358
xjtu,timesnet,pseudo,0.0,1.0,0.6554121151936445,0.7017076112486511,0.3426183394222339,0.30908189486045545,0.36015237421263013
xjtu,timesnet,pseudo,0.1,0.87375,0.6554121151936445,0.6931835400567136,0.3556082404650992,0.31637883224175717,0.3387758403600797
xjtu,timesnet,pseudo,0.2,0.84875,0.6554121151936445,0.6910887523352917,0.35883542912785094,0.31672854893741637,0.33254018878572467
xjtu,patchtst,pseudo,0.0,1.0,0.5223880597014925,0.7060695921865223,0.34293183193409704,0.28730551810102606,0.3142473405599594
xjtu,patchtst,pseudo,0.1,0.97875,0.5246252676659529,0.7062865059158304,0.34481850455856705,0.28640645227827094,0.3086239779284783
xjtu,patchtst,pseudo,0.2,0.82375,0.5246252676659529,0.6950639939770373,0.36416762593353547,0.26770188346127005,0.24990289512462066
