dataset,model,uncertainty,replicate,seed,error_ranking_auc,threshold,test_error_rate
cmapss_fd001,full,mc_dropout,seed,1,0.9821974220988958,0.33,0.01775205963122793
cmapss_fd001,full,confidence,seed,1,0.9848382122948174,0.33,0.01775205963122793
cmapss_fd001,full,mc_dropout,seed,2,0.9739029853241066,0.52,0.02206747744213417
cmapss_fd001,full,confidence,seed,2,0.9780080009806216,0.52,0.02206747744213417
cmapss_fd001,full,mc_dropout,seed,3,0.9669672538805852,0.52,0.02255786582973715
cmapss_fd001,full,confidence,seed,3,0.9719707876344789,0.52,0.02255786582973715
cmapss_fd001,full,mc_dropout,seed,4,0.9799276787413563,0.43,0.01618281679089839
cmapss_fd001,full,confidence,seed,4,0.9815716732674165,0.43,0.01618281679089839
cmapss_fd001,full,mc_dropout,seed,5,0.9740854413638282,0.5,0.019811690859160454
cmapss_fd001,full,confidence,seed,5,0.9757344505713329,0.5,0.019811690859160454
cmapss_fd001,full,seed_ensemble,ensemble,0,0.9772136465684852,0.47000000000000003,0.018242448018830914
cmapss_fd001,proposed_lite,mc_dropout,seed,1,0.9744090480204552,0.5700000000000001,0.020302079246763437
cmapss_fd001,proposed_lite,confidence,seed,1,0.9800263381507097,0.5700000000000001,0.020302079246763437
cmapss_fd001,proposed_lite,mc_dropout,seed,2,0.9711769362915087,0.46,0.022459788152216557
cmapss_fd001,proposed_lite,confidence,seed,2,0.9773882633651749,0.46,0.022459788152216557
cmapss_fd001,proposed_lite,mc_dropout,seed,3,0.9633601943344224,0.74,0.019811690859160454
cmapss_fd001,proposed_lite,confidence,seed,3,0.9662619353790493,0.74,0.019811690859160454
cmapss_fd001,proposed_lite,mc_dropout,seed,4,0.9773174364675434,0.5800000000000001,0.018046292663789723
cmapss_fd001,proposed_lite,confidence,seed,4,0.9791462201879484,0.5800000000000001,0.018046292663789723
cmapss_fd001,proposed_lite,mc_dropout,seed,5,0.981116058641252,0.31,0.024617497057669673
cmapss_fd001,proposed_lite,confidence,seed,5,0.983312601779909,0.31,0.024617497057669673
cmapss_fd001,proposed_lite,seed_ensemble,ensemble,0,0.973782413594857,0.56,0.019713613181639857
cmapss_fd003,full,mc_dropout,seed,1,0.9830688153819925,0.64,0.010587032710280374
cmapss_fd003,full,confidence,seed,1,0.9852480666905865,0.64,0.010587032710280374
cmapss_fd003,full,mc_dropout,seed,2,0.9805023552923522,0.22,0.011755257009345795
cmapss_fd003,full,confidence,seed,2,0.9820809633180139,0.22,0.011755257009345795
cmapss_fd003,full,mc_dropout,seed,3,0.9644224865545435,0.77,0.011098130841121495
cmapss_fd003,full,confidence,seed,3,0.9702655283364939,0.77,0.011098130841121495
cmapss_fd003,full,mc_dropout,seed,4,0.9833068274437268,0.47000000000000003,0.008250584112149533
cmapss_fd003,full,confidence,seed,4,0.9824829840006932,0.47000000000000003,0.008250584112149533
cmapss_fd003,full,mc_dropout,seed,5,0.9868565729260779,0.35000000000000003,0.010441004672897197
cmapss_fd003,full,confidence,seed,5,0.9880304156848095,0.35000000000000003,0.010441004672897197
cmapss_fd003,full,seed_ensemble,ensemble,0,0.9894373429599638,0.52,0.009564836448598131
cmapss_fd003,proposed_lite,mc_dropout,seed,1,0.9622083108090715,0.55,0.013434579439252336
cmapss_fd003,proposed_lite,confidence,seed,1,0.9690058112595568,0.55,0.013434579439252336
cmapss_fd003,proposed_lite,mc_dropout,seed,2,0.9686028810946922,0.38,0.011317172897196262
cmapss_fd003,proposed_lite,confidence,seed,2,0.9772692730083784,0.38,0.011317172897196262
cmapss_fd003,proposed_lite,mc_dropout,seed,3,0.9811343421995532,0.34,0.01022196261682243
cmapss_fd003,proposed_lite,confidence,seed,3,0.9845247755342917,0.34,0.01022196261682243
cmapss_fd003,proposed_lite,mc_dropout,seed,4,0.9845994150080689,0.45,0.012850467289719626
cmapss_fd003,proposed_lite,confidence,seed,4,0.9874209924690693,0.45,0.012850467289719626
cmapss_fd003,proposed_lite,mc_dropout,seed,5,0.973562708705415,0.37,0.014529789719626169
cmapss_fd003,proposed_lite,confidence,seed,5,0.9774492973126729,0.37,0.014529789719626169
cmapss_fd003,proposed_lite,seed_ensemble,ensemble,0,0.9799414781337603,0.48000000000000004,0.010441004672897197
xjtu,full,mc_dropout,seed,1,0.3973755146775675,0.88,0.3025
xjtu,full,confidence,seed,1,0.2624115050801268,0.88,0.3025
xjtu,full,mc_dropout,seed,2,0.3529030865529894,0.85,0.2825
xjtu,full,confidence,seed,2,0.468556319570781,0.85,0.2825
xjtu,full,mc_dropout,seed,3,0.37135871946859794,0.88,0.28375
xjtu,full,confidence,seed,3,0.551729440075036,0.88,0.28375
xjtu,full,mc_dropout,seed,4,0.8347645771021553,0.85,0.2825
xjtu,full,confidence,seed,4,0.8563257377200826,0.85,0.2825
xjtu,full,mc_dropout,seed,5,0.5327969776458982,0.8400000000000001,0.28625
xjtu,full,confidence,seed,5,0.47625784840814017,0.8400000000000001,0.28625
xjtu,full,seed_ensemble,ensemble,0,0.232724862014739,0.88,0.2825
xjtu,proposed_lite,mc_dropout,seed,1,0.3619636363636364,0.72,0.3125
xjtu,proposed_lite,confidence,seed,1,0.2928327272727273,0.72,0.3125
xjtu,proposed_lite,mc_dropout,seed,2,0.62478184991274,0.76,0.28375
xjtu,proposed_lite,confidence,seed,2,0.5952210715686048,0.76,0.28375
xjtu,proposed_lite,mc_dropout,seed,3,0.5476106194690266,0.77,0.29375
xjtu,proposed_lite,confidence,seed,3,0.2273018263980418,0.77,0.29375
xjtu,proposed_lite,mc_dropout,seed,4,0.6745410653650254,0.8,0.38
xjtu,proposed_lite,confidence,seed,4,0.24805019100169778,0.8,0.38
xjtu,proposed_lite,mc_dropout,seed,5,0.7047603831435114,0.76,0.28875
xjtu,proposed_lite,confidence,seed,5,0.6134328471762567,0.76,0.28875
xjtu,proposed_lite,seed_ensemble,ensemble,0,0.20734060628426015,0.75,0.28375
ur3,full,mc_dropout,seed,1,0.6859417585220788,0.27,0.374113475177305
ur3,full,confidence,seed,1,0.8607031134621322,0.27,0.374113475177305
ur3,full,mc_dropout,seed,2,0.719177917358554,0.17,0.3537234042553192
ur3,full,confidence,seed,2,0.8367970681161065,0.17,0.3537234042553192
ur3,full,mc_dropout,seed,3,0.7676144864871852,0.09999999999999999,0.4175531914893617
ur3,full,confidence,seed,3,0.8776882632567128,0.09999999999999999,0.4175531914893617
ur3,full,mc_dropout,seed,4,0.6048526918017718,0.23,0.5452127659574468
ur3,full,confidence,seed,4,0.7881234250939001,0.23,0.5452127659574468
ur3,full,mc_dropout,seed,5,0.5587188612099644,0.7100000000000001,0.2526595744680851
ur3,full,confidence,seed,5,0.5960708413976816,0.7100000000000001,0.2526595744680851
ur3,full,seed_ensemble,ensemble,0,0.6031786610711961,0.28,0.38475177304964536
ur3,proposed_lite,mc_dropout,seed,1,0.8504302186878727,0.14,0.44592198581560283
ur3,proposed_lite,confidence,seed,1,0.8684946322067596,0.14,0.44592198581560283
ur3,proposed_lite,mc_dropout,seed,2,0.8517818172184377,0.08,0.3874113475177305
ur3,proposed_lite,confidence,seed,2,0.8675683104445188,0.08,0.3874113475177305
ur3,proposed_lite,mc_dropout,seed,3,0.792021728179349,0.17,0.33599290780141844
ur3,proposed_lite,confidence,seed,3,0.8575726298212921,0.17,0.33599290780141844
ur3,proposed_lite,mc_dropout,seed,4,0.7513571295426273,0.01,0.7083333333333334
ur3,proposed_lite,confidence,seed,4,0.28408230653057964,0.01,0.7083333333333334
ur3,proposed_lite,mc_dropout,seed,5,0.768441592998847,0.32,0.3962765957446808
ur3,proposed_lite,confidence,seed,5,0.8368598619611245,0.32,0.3962765957446808
ur3,proposed_lite,seed_ensemble,ensemble,0,0.596824030724332,0.24000000000000002,0.4157801418439716
