dataset,model,uncertainty,mean,std,count
cmapss_fd001,full,confidence,0.9784246249497335,0.005002515506134531,5
cmapss_fd001,full,mc_dropout,0.9754161562817544,0.005953651008216843,5
cmapss_fd001,proposed_lite,confidence,0.9772270717725583,0.006496400873258525,5
cmapss_fd001,proposed_lite,mc_dropout,0.9734759347510364,0.0067381920231350395,5
cmapss_fd003,full,confidence,0.9816215916061195,0.006784864402121726,5
cmapss_fd003,full,mc_dropout,0.9796314115197386,0.008797688993795275,5
cmapss_fd003,proposed_lite,confidence,0.9791340299167939,0.007187321164715424,5
cmapss_fd003,proposed_lite,mc_dropout,0.9740215315633602,0.009105055865044256,5
ur3,full,confidence,0.7918765422653067,0.11453444938717697,5
ur3,full,mc_dropout,0.6672611430759108,0.08484007325887759,5
ur3,proposed_lite,confidence,0.7429155481928549,0.25681128362573663,5
ur3,proposed_lite,mc_dropout,0.8028064973254267,0.0463974571910724,5
xjtu,full,confidence,0.5230561701708333,0.2150504121926659,5
xjtu,full,mc_dropout,0.4978397750894417,0.2011451571358728,5
xjtu,proposed_lite,confidence,0.3953677326834657,0.1923251059401585,5
xjtu,proposed_lite,mc_dropout,0.582731510850788,0.13698558537797498,5
