dataset,seed,proposed,baseline,metric,diff_mean,ci_low,ci_high
cmapss_fd001,1,full,lstm,f2,-0.0311650991660303,-0.0582490604396366,-0.0077421297235511
cmapss_fd001,1,full,lstm,auc_roc,-0.0022162883861472,-0.0044692151880237,-0.0003895142586003
cmapss_fd001,1,full,lstm,auc_pr,-0.0432989946340873,-0.101114148165336,-0.0001891727040294
cmapss_fd001,1,full,tcn,f2,0.0233307746891212,-0.0240802878182702,0.0768117206656972
cmapss_fd001,1,full,tcn,auc_roc,0.0019445623513349,-0.0011484469929306,0.0055035448654261
cmapss_fd001,1,full,tcn,auc_pr,0.001835669191124,-0.0476885129068387,0.0508039025624202
cmapss_fd001,1,full,timesnet,f2,-0.0198322948738983,-0.0489517275583982,0.0072193867612059
cmapss_fd001,1,full,timesnet,auc_roc,-0.0021736158725336,-0.0044925378956895,-0.0003013409707482
cmapss_fd001,1,full,timesnet,auc_pr,-0.0444630161140953,-0.1135820934063359,0.0098418037376456
cmapss_fd001,1,proposed_lite,lstm,f2,-0.0902891561255266,-0.1504569733586269,-0.042054765691038
cmapss_fd001,1,proposed_lite,lstm,auc_roc,-0.0045929400772663,-0.0088826684503536,-0.0014329998851977
cmapss_fd001,1,proposed_lite,lstm,auc_pr,-0.0901416881692241,-0.1796260706467568,-0.0279551173168209
cmapss_fd001,1,proposed_lite,tcn,f2,-0.035793282270375,-0.0865458580835648,0.0111343315470202
cmapss_fd001,1,proposed_lite,tcn,auc_roc,-0.000432089339784,-0.0026190822314464,0.0019364966733554
cmapss_fd001,1,proposed_lite,tcn,auc_pr,-0.0450070243440127,-0.1117148823081186,0.0130686746605154
cmapss_fd001,1,proposed_lite,timesnet,f2,-0.0789563518333947,-0.1297964678704404,-0.0362916733005672
cmapss_fd001,1,proposed_lite,timesnet,auc_roc,-0.0045502675636526,-0.0083614467198914,-0.0016449147341216
cmapss_fd001,1,proposed_lite,timesnet,auc_pr,-0.0913057096492321,-0.1841394549275663,-0.0238574648791285
cmapss_fd001,2,full,lstm,f2,-0.0294020597363852,-0.0685172042592235,0.0147375708143775
cmapss_fd001,2,full,lstm,auc_roc,-0.0021037750728736,-0.004240647786285,-0.0001060733592875
