dataset,proposed,baseline,metric,diff_mean,ci_low,ci_high,seeds
cmapss_fd001,full,lstm,auc_pr,-0.043952417810335036,-0.10965533281994981,0.00985646830561312,5
cmapss_fd001,full,lstm,auc_roc,-0.00136016768974368,-0.0036243948630685398,0.00074461272359326,5
cmapss_fd001,full,lstm,f2,0.010581386650214379,-0.040788176179717375,0.06539813019187027,5
cmapss_fd001,full,tcn,auc_pr,-0.05591394992130906,-0.13343927650240367,0.0020228882923506797,5
cmapss_fd001,full,tcn,auc_roc,-0.0015585701306271601,-0.00462289688534928,0.0012026302602068987,5
cmapss_fd001,full,tcn,f2,-0.00710586330248474,-0.05413629327508981,0.038693601837055065,5
cmapss_fd001,full,timesnet,auc_pr,-0.06674457706871477,-0.1523181184957521,-0.0035121327047151194,5
cmapss_fd001,full,timesnet,auc_roc,-0.0025283623914491397,-0.00523563604814234,-0.00030980761343318,5
cmapss_fd001,full,timesnet,f2,-0.01180460729890148,-0.06101266202021505,0.03948225071981258,5
cmapss_fd001,proposed_lite,lstm,auc_pr,-0.07901022221967388,-0.14838808008841572,-0.022873586002256842,5
cmapss_fd001,proposed_lite,lstm,auc_roc,-0.00423187072292484,-0.009210836497147459,-0.0007176048823625801,5
cmapss_fd001,proposed_lite,lstm,f2,-0.02779227086202492,-0.09505537653732173,0.04133109450332438,5
cmapss_fd001,proposed_lite,tcn,auc_pr,-0.0909717543306479,-0.1659311820878382,-0.029576114181246577,5
cmapss_fd001,proposed_lite,tcn,auc_roc,-0.0044302731638083195,-0.009569721242573359,-0.0006573380695449672,5
cmapss_fd001,proposed_lite,tcn,f2,-0.04547952081472402,-0.09641479005745637,0.002372287759445501,5
cmapss_fd001,proposed_lite,timesnet,auc_pr,-0.10180238147805362,-0.1809255590598794,-0.0376788907800261,5
cmapss_fd001,proposed_lite,timesnet,auc_roc,-0.0054000654246303195,-0.01025649083568128,-0.00196517697580648,5
cmapss_fd001,proposed_lite,timesnet,f2,-0.05017826481114081,-0.1065539012457349,0.005400163829737839,5
cmapss_fd003,full,lstm,auc_pr,-0.00861981722565404,-0.05730943414921548,0.038091430763245435,5
cmapss_fd003,full,lstm,auc_roc,-0.0039280082283813,-0.013462514667804482,0.00070200750008116,5
cmapss_fd003,full,lstm,f2,-0.019959228232504157,-0.052674674984461725,0.00802207630026784,5
cmapss_fd003,full,tcn,auc_pr,-0.01237231541605374,-0.056566692785498265,0.02670843931218166,5
cmapss_fd003,full,tcn,auc_roc,-0.00369736954716662,-0.01376178179223266,0.0014223170104007798,5
cmapss_fd003,full,tcn,f2,-0.0015446811300429796,-0.04281607153557131,0.03846969491846976,5
cmapss_fd003,full,timesnet,auc_pr,-0.0313936344796248,-0.07678081953312768,0.007866639996989751,5
cmapss_fd003,full,timesnet,auc_roc,-0.00479542943578896,-0.015429635411906839,0.00020980154726979542,5
cmapss_fd003,full,timesnet,f2,-0.021117534578853542,-0.06903868111214252,0.01637176225229342,5
cmapss_fd003,proposed_lite,lstm,auc_pr,-0.04177109297283544,-0.09746771231999628,0.011191883555913782,5
cmapss_fd003,proposed_lite,lstm,auc_roc,-0.00456339921261582,-0.01411714640537482,0.00076120299360602,5
cmapss_fd003,proposed_lite,lstm,f2,-0.04030475855202076,-0.08570667944875485,-0.00477804950710794,5
cmapss_fd003,proposed_lite,tcn,auc_pr,-0.045523591163235136,-0.10097051786702989,0.00445170612247414,5
cmapss_fd003,proposed_lite,tcn,auc_roc,-0.00433276053140106,-0.012565800378189839,8.427712043109707e-05,5
cmapss_fd003,proposed_lite,tcn,f2,-0.02189021144955952,-0.07506133605258751,0.024132397993273397,5
cmapss_fd003,proposed_lite,timesnet,auc_pr,-0.0645449102268062,-0.11974320286161308,-0.017752443024900737,5
cmapss_fd003,proposed_lite,timesnet,auc_roc,-0.00543082042002346,-0.01518926239409798,-0.00034932020189472,5
cmapss_fd003,proposed_lite,timesnet,f2,-0.04146306489837012,-0.09921681327968956,0.00346557867475274,5
ur3,full,lstm,auc_pr,-0.03294034200240866,-0.0762237632509409,0.0092215152029208,5
ur3,full,lstm,auc_roc,-0.02772380564100148,-0.05917452059328976,0.0022074263824465997,5
ur3,full,lstm,f2,-0.0255434172197102,-0.06820482412806687,0.015432986371595642,5
ur3,full,tcn,auc_pr,0.033065863723152775,-0.03809608688227778,0.10767984511087372,5
ur3,full,tcn,auc_roc,-0.00686801344404976,-0.05041702057068722,0.03358840558918224,5
ur3,full,tcn,f2,-0.01272217568329608,-0.050879295450763376,0.02415115358777016,5
ur3,full,timesnet,auc_pr,-0.04149431082667284,-0.1099498856946318,0.02034331684509868,5
ur3,full,timesnet,auc_roc,-0.034364823540575226,-0.08513505036822025,0.01347918855754926,5
ur3,full,timesnet,f2,-0.019787823226088,-0.0751602463660405,0.04035240051147716,5
ur3,proposed_lite,lstm,auc_pr,-0.02828402420543712,-0.08342493813298774,0.03004134328073064,5
ur3,proposed_lite,lstm,auc_roc,-0.03439500335462476,-0.07990508419163093,0.009594824026831861,5
ur3,proposed_lite,lstm,f2,-0.03748402622889564,-0.08506918163020935,0.00982031948053404,5
ur3,proposed_lite,tcn,auc_pr,0.03772218152012434,-0.037265806616708,0.1143839436126876,5
ur3,proposed_lite,tcn,auc_roc,-0.013539211157673082,-0.06786469606002589,0.03670342233347042,5
ur3,proposed_lite,tcn,f2,-0.02466278469248148,-0.07718415480735548,0.025368633230988924,5
ur3,proposed_lite,timesnet,auc_pr,-0.03683799302970128,-0.10665466431224721,0.026046011520283702,5
ur3,proposed_lite,timesnet,auc_roc,-0.04103602125419846,-0.09189999020865876,0.0071534932486361615,5
ur3,proposed_lite,timesnet,f2,-0.03172843223527344,-0.08032252455180648,0.01581826426560646,5
xjtu,full,lstm,auc_pr,0.08269787894734357,-0.18629711314998992,0.31508029190840264,5
xjtu,full,lstm,auc_roc,0.01537966774874892,-0.13610309689835406,0.18328181246613964,5
xjtu,full,lstm,f2,0.06448083606440261,-0.08703499410222776,0.16382844332026966,5
xjtu,full,tcn,auc_pr,-0.1954743098491303,-0.37947672807780997,0.0634016645313135,5
xjtu,full,tcn,auc_roc,-0.07703104150223831,-0.2786755021865987,0.08955126615670775,5
xjtu,full,tcn,f2,-0.10075901574105768,-0.2739129032406181,-0.010388050298673063,5
xjtu,full,timesnet,auc_pr,0.060480151549985296,-0.27356677537402146,0.3741542181338997,5
xjtu,full,timesnet,auc_roc,-0.036185710485743684,-0.28994128560747373,0.14343698794415427,5
xjtu,full,timesnet,f2,-0.12137140309250571,-0.2961652508930005,-0.007835347604100842,5
