dataset,proposed,baseline,metric,diff_mean,ci_low,ci_high,ci_includes_zero,n_bootstrap,n_seeds,n_units,resampling_design
cmapss_fd001,full,lstm,f2,0.008080484252733904,-0.04087393307694792,0.07094659976401588,True,3000,5,100,crossed_seed_unit
cmapss_fd001,full,tcn,f2,-0.008880270581016857,-0.055623033315834076,0.03807187598654055,True,3000,5,100,crossed_seed_unit
cmapss_fd001,full,timesnet,f2,-0.014769955748219434,-0.05551274411660164,0.02858042807975422,True,3000,5,100,crossed_seed_unit
cmapss_fd001,proposed_lite,lstm,f2,-0.029836536862907395,-0.09482869118064495,0.03846293736189177,True,3000,5,100,crossed_seed_unit
cmapss_fd001,proposed_lite,tcn,f2,-0.04679729169665815,-0.09613525636705127,-0.0071582407578913735,False,3000,5,100,crossed_seed_unit
cmapss_fd001,proposed_lite,timesnet,f2,-0.052686976863860736,-0.10316245753806139,-0.003976062596378336,False,3000,5,100,crossed_seed_unit
cmapss_fd003,full,lstm,f2,-0.020237648752517864,-0.05024959837504691,0.0037987210227110432,True,3000,5,100,crossed_seed_unit
cmapss_fd003,full,tcn,f2,-0.001959360437316079,-0.03773895540055142,0.034841026876421814,True,3000,5,100,crossed_seed_unit
cmapss_fd003,full,timesnet,f2,-0.021505204135554977,-0.06814067414855993,0.012461861632033604,True,3000,5,100,crossed_seed_unit
cmapss_fd003,proposed_lite,lstm,f2,-0.04407829818102337,-0.0815953093743845,-0.015734447235790656,False,3000,5,100,crossed_seed_unit
cmapss_fd003,proposed_lite,tcn,f2,-0.02580000986582159,-0.07012103225810509,0.015147904284365457,True,3000,5,100,crossed_seed_unit
cmapss_fd003,proposed_lite,timesnet,f2,-0.045345853564060484,-0.09878953627670124,-0.0055254211457781985,False,3000,5,100,crossed_seed_unit
xjtu,full,lstm,f2,0.06410639827962386,-0.11557366025521923,0.31429206775187046,True,3000,5,4,crossed_seed_unit
xjtu,full,tcn,f2,-0.10207408324541337,-0.26471358168108455,0.02066152585590748,True,3000,5,4,crossed_seed_unit
xjtu,full,timesnet,f2,-0.1220565681928864,-0.3182512556880552,-0.006713545947738764,False,3000,5,4,crossed_seed_unit
xjtu,proposed_lite,lstm,f2,0.05860038175992422,-0.10570597577731428,0.30868914754352134,True,3000,5,4,crossed_seed_unit
xjtu,proposed_lite,tcn,f2,-0.107580099765113,-0.2516041621460738,0.009523127571541546,True,3000,5,4,crossed_seed_unit
xjtu,proposed_lite,timesnet,f2,-0.12756258471258605,-0.29600669999078194,-0.021794870325298882,False,3000,5,4,crossed_seed_unit
ur3,full,lstm,f2,-0.03079874710048518,-0.07218949754930676,0.008894375360562253,True,3000,5,36,crossed_seed_unit
ur3,full,tcn,f2,-0.017977640387714326,-0.06842907389992665,0.01860312655245582,True,3000,5,36,crossed_seed_unit
ur3,full,timesnet,f2,-0.024641116043380387,-0.08148767455796356,0.031550998608025724,True,3000,5,36,crossed_seed_unit
ur3,proposed_lite,lstm,f2,-0.03540408928580347,-0.08154928569958408,0.008485733777811264,True,3000,5,36,crossed_seed_unit
ur3,proposed_lite,tcn,f2,-0.022582982573032612,-0.06942286152951856,0.020802088290613637,True,3000,5,36,crossed_seed_unit
ur3,proposed_lite,timesnet,f2,-0.02924645822869867,-0.070367314961454,0.017598628498348392,True,3000,5,36,crossed_seed_unit
