dataset,proposed,baseline,metric,diff_mean,ci_low,ci_high,ci_includes_zero,n_bootstrap,n_seeds,n_units
cmapss_fd001,full,lstm,f2,0.007940038293484584,-0.03255614289391055,0.057267992958402354,True,3000,5,100
cmapss_fd001,full,tcn,f2,-0.009796356709711617,-0.048199079751499285,0.029269405840580874,True,3000,5,100
cmapss_fd001,full,timesnet,f2,-0.015018302333577385,-0.03860719933146552,0.008913340758285754,True,3000,5,100
cmapss_fd001,proposed_lite,lstm,f2,-0.029633143140225048,-0.08415342213328617,0.024376395515088918,True,3000,5,100
cmapss_fd001,proposed_lite,tcn,f2,-0.04736953814342125,-0.08522832036962627,-0.013302601384040198,False,3000,5,100
cmapss_fd001,proposed_lite,timesnet,f2,-0.05259148376728702,-0.08699039131379886,-0.0201277988556929,False,3000,5,100
cmapss_fd003,full,lstm,f2,-0.020285935268473353,-0.04019499671832577,-0.002185543803020999,False,3000,5,100
cmapss_fd003,full,tcn,f2,-0.0019431652631366335,-0.026745129290042906,0.02165080174210023,True,3000,5,100
cmapss_fd003,full,timesnet,f2,-0.021360320853978293,-0.04567615721215937,-0.0005767693767847893,False,3000,5,100
cmapss_fd003,proposed_lite,lstm,f2,-0.04402672611664377,-0.06892807356682898,-0.02296566924842799,False,3000,5,100
cmapss_fd003,proposed_lite,tcn,f2,-0.025683956111307044,-0.05040956075356701,-0.002502920231401125,False,3000,5,100
cmapss_fd003,proposed_lite,timesnet,f2,-0.045101111702148707,-0.07360682797367081,-0.019576912129973523,False,3000,5,100
xjtu,full,lstm,f2,0.06276952809646891,-0.07991789211502487,0.32229369487863896,True,3000,5,4
xjtu,full,tcn,f2,-0.10277976477493511,-0.19040939644565139,-0.0075521846407648145,False,3000,5,4
xjtu,full,timesnet,f2,-0.12308846670458545,-0.21456422392442273,-0.055255927038689805,False,3000,5,4
xjtu,proposed_lite,lstm,f2,0.05747784843563981,-0.08888913855177842,0.3221136036655115,True,3000,5,4
xjtu,proposed_lite,tcn,f2,-0.1080714444357642,-0.19619864391956437,-0.009607843640995055,False,3000,5,4
xjtu,proposed_lite,timesnet,f2,-0.12838014636541456,-0.20678643876367483,-0.06669110212913272,False,3000,5,4
ur3,full,lstm,f2,-0.03030116969683623,-0.06673296529602335,0.004433938838108872,True,3000,5,36
ur3,full,tcn,f2,-0.017572919884448736,-0.05959190543086697,0.01296768924807738,True,3000,5,36
ur3,full,timesnet,f2,-0.024575449119296072,-0.0667538313724615,0.01612910562665589,True,3000,5,36
ur3,proposed_lite,lstm,f2,-0.03509550639450173,-0.07376758463462366,0.0004893847354004886,True,3000,5,36
ur3,proposed_lite,tcn,f2,-0.022367256582114237,-0.05308737238206872,0.008955201039592553,True,3000,5,36
ur3,proposed_lite,timesnet,f2,-0.02936978581696157,-0.06086767689577542,0.0025274733534599355,True,3000,5,36
